seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
38,1036,0,5.66,12.52,0.77,9.64,0.587
39,1038,0,6.00,12.51,0.77,9.69,0.619
40,1038,0,5.82,12.52,0.77,9.57,0.608
41,1040,0,5.68,12.52,0.78,9.71,0.586
42,1040,0,6.49,12.52,0.78,9.76,0.665
43,1042,0,7.12,12.51,0.79,9.84,0.723
44,1042,3754,7.21,12.52,0.78,9.80,0.735
45,1044,3780,7.46,12.51,0.80,9.97,0.748
46,1044,3814,8.35,12.52,0.79,9.91,0.843
47,1046,3848,8.30,12.52,0.79,9.86,0.842
48,1046,3882,8.32,12.51,0.80,9.97,0.835
49,1048,3908,8.43,12.51,0.80,9.95,0.847
50,1048,3951,8.79,12.51,0.80,9.97,0.881
51,1050,3977,8.90,12.52,0.80,10.00,0.890
52,1050,4002,9.00,12.51,0.81,10.09,0.892
53,1052,4037,9.18,12.52,0.80,10.00,0.918
54,1052,4062,9.57,12.52,0.80,9.99,0.958
55,1054,4088,9.83,12.52,0.79,9.90,0.993
56,1054,4114,9.81,12.52,0.78,9.81,1.000
57,1056,4140,9.60,12.52,0.80,9.96,0.964
58,1056,4157,9.60,12.52,0.81,10.09,0.952
59,1058,4182,9.96,12.51,0.80,9.96,1.000
60,1058,4208,10.27,12.52,0.82,10.31,0.996
61,1060,4234,10.59,12.52,0.82,10.23,1.035
62,1060,4260,10.97,12.51,0.81,10.19,1.077
63,1062,4294,11.39,12.51,0.82,10.22,1.115
64,1062,4328,11.30,12.51,0.82,10.26,1.101
65,1064,4362,11.21,12.51,0.82,10.23,1.096
66,1064,4405,11.52,12.51,0.83,10.38,1.109
67,1066,4431,11.79,12.52,0.82,10.21,1.154
68,1066,4465,11.66,12.52,0.83,10.34,1.127
69,1068,4500,11.97,12.52,0.83,10.34,1.157
70,1068,4534,11.86,12.51,0.83,10.42,1.139
71,1070,4577,12.12,12.51,0.84,10.52,1.152
72,1070,4602,12.82,12.51,0.83,10.44,1.228
73,1072,4645,12.51,12.52,0.84,10.53,1.188
74,1072,4680,12.47,12.51,0.85,10.65,1.171
75,1074,4722,12.36,12.51,0.84,10.56,1.170
76,1074,4757,12.56,12.52,0.85,10.63,1.182
77,1076,4791,13.00,12.52,0.86,10.76,1.208
78,1076,4817,13.15,12.52,0.85,10.68,1.232
79,1078,4851,13.10,12.51,0.84,10.47,1.251
80,1078,4885,13.28,12.51,0.87,10.86,1.223
81,1080,4911,13.84,12.52,0.86,10.71,1.292
82,1080,4945,14.41,12.51,0.86,10.70,1.346
83,1082,4971,14.78,12.52,0.85,10.70,1.382
84,1082,4997,14.83,12.51,0.85,10.59,1.401
85,1084,5022,14.98,12.51,0.86,10.80,1.387
86,1084,5057,15.30,12.51,0.87,10.87,1.408
87,1086,5082,15.87,12.51,0.86,10.80,1.469
88,1086,5108,15.87,12.51,0.87,10.91,1.455
89,1088,5134,15.81,12.52,0.87,10.88,1.453
90,1088,5168,16.02,12.51,0.88,10.96,1.462
91,1090,5194,16.68,12.51,0.87,10.92,1.527
92,1090,5220,16.79,12.51,0.87,10.92,1.538
93,1092,5254,16.44,12.52,0.87,10.92,1.506
94,1092,5280,16.40,12.52,0.88,10.99,1.492
95,1094,5305,16.75,12.51,0.90,11.21,1.493
96,1094,5340,17.04,12.51,0.89,11.09,1.538
97,1096,5365,16.73,12.51,0.90,11.24,1.489
98,1096,5391,17.04,12.51,0.89,11.15,1.528
99,1098,5417,17.62,12.51,0.90,11.30,1.560
100,1098,5451,17.72,12.51,0.91,11.43,1.550
101,1100,5477,17.93,12.51,0.90,11.20,1.601
102,1100,5502,18.37,12.51,0.90,11.24,1.635
103,1102,5537,18.30,12.51,0.89,11.18,1.636
104,1102,5554,18.37,12.51,0.91,11.42,1.609
105,1104,5580,18.22,12.51,0.92,11.44,1.592
106,1104,5605,18.66,12.50,0.91,11.39,1.639
107,1106,5631,18.70,12.50,0.90,11.22,1.666
108,1106,5657,18.81,12.51,0.91,11.38,1.654
109,1108,5674,19.08,12.51,0.91,11.34,1.683
110,1108,5700,18.95,12.51,0.91,11.32,1.674
111,1110,5725,19.22,12.51,0.92,11.46,1.677
112,1110,5742,19.16,12.51,0.92,11.49,1.668
113,1112,5760,19.56,12.51,0.92,11.53,1.697
114,1112,5785,19.43,12.50,0.92,11.56,1.680
115,1114,5811,19.39,12.51,0.92,11.55,1.679
116,1114,5828,20.00,12.51,0.95,11.83,1.691
117,1116,5862,20.18,12.51,0.94,11.75,1.717
118,1116,5888,20.02,12.51,0.94,11.75,1.703
119,1118,5914,20.29,12.50,0.92,11.55,1.756
120,1118,5940,20.07,12.51,0.94,11.79,1.703
121,1120,5965,20.46,12.51,0.93,11.60,1.765
122,1120,6000,20.99,12.51,0.93,11.66,1.801
123,1122,6017,20.75,12.51,0.93,11.66,1.780
124,1122,6051,20.59,12.51,0.94,11.72,1.756
125,1124,6060,21.08,12.52,0.94,11.76,1.792
126,1124,6077,21.52,12.51,0.94,11.71,1.838
127,1126,6102,21.21,12.51,0.94,11.75,1.805
128,1126,6120,21.08,12.51,0.95,11.85,1.779
129,1128,6137,21.09,12.51,0.94,11.80,1.788
130,1128,6162,21.44,12.51,0.98,12.21,1.756
131,1130,6180,21.27,12.51,0.97,12.11,1.757
132,1130,6205,20.97,12.51,0.97,12.15,1.726
133,1132,6222,21.21,12.50,0.96,12.00,1.768
134,1132,6257,21.38,12.51,0.97,12.16,1.758
135,1134,6282,21.49,12.51,0.98,12.23,1.757
136,1134,6300,21.57,12.51,0.97,12.12,1.780
137,1136,6325,21.85,12.51,0.94,11.81,1.851
138,1136,6342,21.92,12.51,0.96,12.02,1.824
139,1138,6368,22.66,12.51,0.97,12.11,1.872
140,1138,6385,22.88,12.51,0.97,12.18,1.879
141,1140,6402,22.71,12.51,0.98,12.31,1.844
142,1140,6428,22.76,12.51,0.97,12.17,1.870
143,1142,6445,22.73,12.50,0.97,12.19,1.864
144,1142,6471,23.34,12.51,1.00,12.46,1.874
145,1144,6488,23.07,12.51,0.97,12.17,1.896
146,1144,6514,22.73,12.51,0.98,12.29,1.849
147,1146,6540,22.95,12.50,0.99,12.38,1.854
148,1146,6557,22.96,12.50,0.99,12.33,1.862
149,1148,6582,22.93,12.51,1.00,12.52,1.831
150,1148,6600,23.33,12.51,0.99,12.44,1.875
151,1150,6634,23.62,12.50,1.00,12.53,1.885
152,1150,6651,23.72,12.51,1.01,12.59,1.884
153,1152,6677,24.14,12.51,1.02,12.70,1.901
154,1152,6720,24.30,12.51,1.01,12.66,1.920
155,1154,6728,24.20,12.51,1.01,12.69,1.907
156,1154,6754,24.62,12.50,1.00,12.54,1.963
157,1156,6788,25.17,12.51,1.02,12.76,1.972
158,1156,6814,25.08,12.50,1.03,12.90,1.944
159,1158,6848,25.34,12.51,1.04,12.96,1.955
160,1158,6874,25.73,12.50,1.03,12.90,1.994
161,1160,6900,25.79,12.51,1.04,13.05,1.976
162,1160,6934,25.77,12.51,1.03,12.93,1.994
163,1162,6960,26.67,12.51,1.04,13.07,2.041
164,1162,6985,27.31,12.51,1.05,13.15,2.077
165,1164,7020,28.28,12.51,1.05,13.08,2.162
166,1164,7045,29.29,12.51,1.05,13.17,2.224
167,1166,7071,31.30,12.50,1.05,13.12,2.386
168,1166,7105,32.42,12.50,1.07,13.36,2.427
169,1168,7131,32.78,12.50,1.08,13.48,2.431
170,1168,7165,32.68,12.50,1.07,13.35,2.448
171,1170,7191,32.64,12.50,1.09,13.59,2.402
172,1170,7217,33.28,12.50,1.08,13.49,2.467
173,1172,7251,33.24,12.50,1.08,13.55,2.453
174,1172,7277,33.05,12.50,1.08,13.50,2.448
175,1174,7311,33.17,12.50,1.08,13.54,2.450
176,1174,7337,32.42,12.50,1.07,13.34,2.431
177,1176,7362,32.67,12.50,1.08,13.50,2.419
178,1176,7388,32.19,12.50,1.09,13.67,2.356
179,1178,7414,31.93,12.50,1.09,13.62,2.344
180,1178,7440,31.86,12.50,1.11,13.92,2.289
181,1180,7474,32.56,12.50,1.10,13.72,2.374
182,1180,7500,32.80,12.50,1.10,13.72,2.390
183,1182,7534,33.05,12.50,1.09,13.62,2.426
184,1182,7560,32.61,12.50,1.11,13.92,2.342
185,1184,7585,32.86,12.50,1.12,14.04,2.340
186,1184,7611,33.30,12.50,1.12,14.02,2.374
187,1186,7654,33.30,12.50,1.13,14.07,2.367
188,1186,7688,34.41,12.50,1.14,14.19,2.425
189,1188,7705,34.19,12.50,1.14,14.23,2.403
190,1188,7731,34.38,12.50,1.13,14.09,2.440
191,1190,7757,34.78,12.50,1.12,14.06,2.474
192,1190,7791,34.69,12.50,1.16,14.55,2.384
193,1192,7817,34.97,12.49,1.15,14.41,2.427
194,1192,7851,34.80,12.49,1.15,14.38,2.420
195,1194,7885,35.31,12.50,1.16,14.51,2.434
196,1194,7920,35.91,12.49,1.18,14.76,2.433
197,1196,7954,36.40,12.50,1.19,14.83,2.454
198,1196,7988,37.17,12.49,1.19,14.81,2.509
199,1198,8022,37.98,12.49,1.18,14.68,2.586
200,1198,8057,38.30,12.49,1.18,14.75,2.598
201,1200,8091,37.78,12.49,1.16,14.46,2.613
202,1200,8117,38.23,12.49,1.19,14.88,2.569
203,1202,8142,38.59,12.49,1.19,14.86,2.597
204,1202,8168,39.23,12.50,1.22,15.21,2.580
205,1204,8185,39.63,12.50,1.21,15.18,2.612
206,1204,8220,39.68,12.49,1.22,15.20,2.610
207,1206,8262,40.02,12.49,1.22,15.21,2.631
208,1206,8288,40.34,12.49,1.22,15.21,2.652
209,1208,8331,41.30,12.49,1.19,14.91,2.770
210,1208,8357,41.12,12.50,1.20,14.96,2.749
211,1210,8365,41.50,12.50,1.21,15.08,2.753
212,1210,8382,41.77,12.50,1.21,15.11,2.765
213,1212,8408,41.81,12.49,1.22,15.24,2.744
214,1212,8442,42.08,12.49,1.22,15.21,2.766
215,1214,8468,42.55,12.49,1.23,15.39,2.765
216,1214,8511,43.17,12.49,1.23,15.40,2.804
217,1216,8528,43.55,12.50,1.25,15.58,2.796
218,1216,8571,44.05,12.49,1.24,15.51,2.841
219,1218,8597,44.16,12.50,1.26,15.76,2.803
220,1218,8622,44.47,12.50,1.25,15.56,2.859
221,1220,8657,44.56,12.49,1.27,15.91,2.801
222,1220,8674,44.72,12.49,1.30,16.22,2.758
223,1222,8700,45.42,12.49,1.27,15.89,2.859
224,1222,8734,45.36,12.49,1.27,15.88,2.856
225,1224,8768,45.42,12.49,1.26,15.77,2.880
226,1224,8802,45.09,12.49,1.28,15.94,2.829
227,1226,8837,45.02,12.49,1.29,16.09,2.798
228,1226,8862,45.14,12.50,1.29,16.11,2.803
229,1228,8905,45.27,12.49,1.29,16.17,2.800
230,1228,8948,45.93,12.49,1.30,16.28,2.821
231,1230,8974,45.98,12.49,1.31,16.33,2.816
232,1230,9017,46.30,12.49,1.31,16.35,2.832
233,1232,9025,46.62,12.48,1.30,16.25,2.868
234,1232,9068,46.92,12.49,1.31,16.30,2.878
235,1234,9094,47.11,12.49,1.30,16.29,2.892
236,1234,9111,47.50,12.49,1.34,16.69,2.846
237,1236,9120,48.00,12.49,1.34,16.69,2.877
238,1236,9154,48.53,12.49,1.35,16.84,2.882
239,1238,9188,48.75,12.49,1.33,16.65,2.927
240,1238,9222,48.74,12.49,1.35,16.81,2.899
241,1240,9248,48.83,12.48,1.36,17.01,2.870
242,1240,9274,49.50,12.48,1.37,17.10,2.895
243,1242,9291,49.42,12.48,1.36,16.98,2.910
244,1242,9300,49.82,12.48,1.35,16.81,2.963
245,1244,9325,50.13,12.49,1.36,17.03,2.943
246,1244,9360,50.47,12.49,1.36,17.04,2.962
247,1246,9377,50.84,12.49,1.37,17.14,2.966
248,1246,9420,50.96,12.48,1.38,17.18,2.966
249,1248,9437,51.40,12.48,1.39,17.31,2.969
250,1248,9454,51.72,12.48,1.39,17.30,2.989
251,1250,9497,51.86,12.49,1.39,17.36,2.988
252,1250,9514,52.53,12.48,1.38,17.18,3.058
253,1252,9505,52.77,12.48,1.39,17.31,3.049
254,1252,9531,53.33,12.49,1.39,17.37,3.071
255,1254,9565,54.03,12.48,1.40,17.51,3.085
256,1254,9574,53.86,12.49,1.40,17.52,3.075
257,1256,9600,54.22,12.49,1.40,17.50,3.098
258,1256,9634,54.39,12.48,1.41,17.57,3.097
259,1258,9668,54.90,12.48,1.42,17.75,3.092
260,1258,9685,54.62,12.49,1.42,17.73,3.081
261,1260,9702,55.04,12.49,1.42,17.73,3.104
262,1260,9728,55.59,12.49,1.44,17.92,3.101
263,1262,9754,55.64,12.49,1.42,17.77,3.131
264,1262,9780,55.58,12.48,1.44,17.96,3.095
265,1264,9822,55.27,12.48,1.43,17.84,3.098
266,1264,9848,55.92,12.48,1.46,18.18,3.077
267,1266,9865,56.02,12.48,1.46,18.19,3.080
268,1266,9882,56.39,12.48,1.46,18.23,3.094
269,1268,9908,56.45,12.48,1.46,18.17,3.106
270,1268,9925,57.11,12.48,1.47,18.31,3.119
271,1270,9951,57.47,12.48,1.46,18.17,3.163
272,1270,9968,57.86,12.48,1.48,18.42,3.141
273,1272,9994,58.67,12.49,1.47,18.36,3.196
274,1272,10002,59.20,12.49,1.48,18.47,3.204
275,1274,10020,59.14,12.49,1.46,18.27,3.236
276,1274,10037,59.00,12.48,1.48,18.50,3.189
277,1276,10062,59.17,12.49,1.47,18.39,3.217
278,1276,10071,59.94,12.48,1.52,19.00,3.154
279,1278,10122,60.59,12.49,1.50,18.71,3.239
280,1278,10148,62.10,12.49,1.49,18.64,3.332
281,1280,10182,62.30,12.48,1.51,18.90,3.296
282,1280,10191,62.33,12.49,1.50,18.69,3.334
283,1282,10208,62.51,12.49,1.52,19.00,3.290
284,1282,10234,62.80,12.47,1.53,19.08,3.291
285,1284,10242,63.12,12.47,1.54,19.25,3.279
286,1284,10260,63.08,12.48,1.58,19.68,3.205
287,1286,10294,63.31,12.48,1.55,19.29,3.282
288,1286,10320,63.45,12.48,1.53,19.06,3.328
289,1288,10345,63.89,12.49,1.53,19.13,3.341
290,1288,10371,63.96,12.49,1.53,19.14,3.341
291,1290,10405,63.45,12.48,1.54,19.16,3.312
292,1290,10431,63.32,12.47,1.57,19.54,3.240
293,1292,10465,64.18,12.47,1.56,19.51,3.290
294,1292,10491,64.91,12.48,1.56,19.46,3.336
295,1294,10517,64.48,12.47,1.58,19.67,3.278
296,1294,10525,64.27,12.48,1.57,19.64,3.272
297,1296,10568,64.72,12.47,1.59,19.79,3.270
298,1296,10585,65.27,12.48,1.58,19.78,3.299
299,1298,10611,65.22,12.48,1.58,19.74,3.304
300,1298,10620,65.28,12.48,1.57,19.65,3.322
301,1300,10628,65.99,12.47,1.59,19.81,3.331
302,1300,10671,65.76,12.47,1.61,20.02,3.284
303,1302,10697,65.80,12.47,1.62,20.26,3.248
304,1302,10748,66.07,12.47,1.64,20.40,3.239
305,1304,10782,66.52,12.47,1.62,20.17,3.298
306,1304,10791,66.60,12.47,1.63,20.31,3.279
307,1306,10808,66.67,12.47,1.61,20.14,3.310
308,1306,10825,67.07,12.47,1.64,20.48,3.275
309,1308,10842,67.50,12.48,1.68,20.91,3.229
310,1308,10885,68.13,12.47,1.66,20.70,3.291
311,1310,10937,68.58,12.47,1.66,20.72,3.310
312,1310,10954,68.78,12.47,1.67,20.79,3.308
313,1312,10971,69.26,12.47,1.67,20.83,3.325
314,1312,10980,69.42,12.47,1.68,20.98,3.309
315,1314,10971,69.80,12.47,1.67,20.83,3.352
316,1314,10980,69.90,12.47,1.67,20.80,3.361
317,1316,10988,69.98,12.47,1.66,20.66,3.388
318,1316,11005,70.46,12.47,1.69,21.09,3.342
319,1318,11040,70.58,12.47,1.71,21.26,3.320
320,1318,11040,71.06,12.47,1.72,21.40,3.321
321,1320,11048,71.31,12.47,1.71,21.27,3.352
322,1320,11048,71.84,12.47,1.69,21.09,3.406
323,1322,11057,72.28,12.46,1.71,21.34,3.387
324,1322,11048,72.23,12.47,1.73,21.55,3.352
325,1324,11048,72.93,12.47,1.71,21.39,3.410
326,1324,11091,73.01,12.47,1.70,21.23,3.439
327,1326,11125,72.93,12.47,1.73,21.53,3.387
328,1326,11177,73.69,12.47,1.74,21.75,3.387
329,1328,11254,74.07,12.47,1.74,21.71,3.411
330,1328,11288,74.15,12.47,1.75,21.88,3.389
331,1330,11288,74.50,12.46,1.73,21.58,3.452
332,1330,11280,75.28,12.47,1.75,21.78,3.456
333,1332,11288,75.50,12.46,1.75,21.78,3.466
334,1332,11331,75.79,12.47,1.76,21.95,3.454
335,1334,11331,76.77,12.47,1.75,21.77,3.527
336,1334,11348,76.75,12.46,1.75,21.87,3.509
337,1336,11365,76.83,12.47,1.78,22.19,3.462
338,1336,11357,77.24,12.45,1.79,22.35,3.456
339,1338,11365,77.59,12.46,1.79,22.28,3.482
340,1338,11425,77.70,12.47,1.80,22.42,3.465
341,1340,11477,77.88,12.46,1.79,22.28,3.495
342,1340,11494,78.35,12.47,1.79,22.37,3.502
343,1342,11502,78.92,12.47,1.79,22.30,3.540
344,1342,11511,79.57,12.47,1.79,22.37,3.558
345,1344,11545,79.20,12.47,1.78,22.19,3.569
346,1344,11580,79.78,12.47,1.80,22.39,3.564
347,1346,11605,80.50,12.47,1.78,22.19,3.628
348,1346,11614,80.36,12.47,1.80,22.47,3.576
349,1348,11640,79.78,12.47,1.77,22.10,3.609
350,1348,11734,80.91,12.47,1.83,22.86,3.540
351,1350,11725,81.36,12.47,1.79,22.38,3.636
352,1350,11785,81.12,12.45,1.86,23.11,3.510
353,1352,11742,81.02,12.46,1.81,22.59,3.586
354,1352,11760,81.55,12.46,1.86,23.16,3.521
355,1354,11742,81.55,12.46,1.81,22.60,3.608
356,1354,11742,81.47,12.47,1.78,22.20,3.670
357,1356,11742,81.00,12.45,1.84,22.92,3.534
358,1356,11725,81.41,12.46,1.82,22.70,3.586
359,1358,11734,81.32,12.47,1.80,22.48,3.617
360,1358,11742,81.31,12.47,1.79,22.31,3.644
361,1360,11742,81.16,12.45,1.81,22.50,3.607
362,1360,11742,80.77,12.46,1.83,22.78,3.546
363,1362,11742,80.41,12.46,1.82,22.66,3.548
364,1362,11734,81.47,12.46,1.85,23.03,3.538
365,1364,11742,81.14,12.45,1.93,24.00,3.381
366,1364,11768,81.72,12.45,1.99,24.82,3.292
367,1366,11820,83.34,12.46,1.98,24.71,3.373
368,1366,11922,84.34,12.45,1.95,24.32,3.469
369,1368,12042,84.81,12.46,1.94,24.23,3.500
