seq,pwm,rpm,thrust,voltage,current
133,1132,5322,77.03,16.730,1.430
134,1132,5322,77.13,16.738,1.428
135,1134,5331,77.24,16.724,1.421
136,1134,5365,77.38,16.723,1.446
137,1136,5400,78.04,16.725,1.456
138,1136,5400,78.40,16.728,1.456
139,1138,5400,79.04,16.726,1.458
140,1138,5400,79.21,16.730,1.464
141,1140,5400,78.82,16.729,1.467
142,1140,5408,79.43,16.726,1.466
143,1142,5451,80.57,16.728,1.470
144,1142,5468,81.49,16.727,1.478
145,1144,5468,82.02,16.723,1.487
146,1144,5468,82.57,16.725,1.500
147,1146,5502,83.08,16.725,1.513
148,1146,5537,83.88,16.725,1.513
149,1148,5571,84.80,16.724,1.512
150,1148,5571,86.14,16.725,1.526
151,1150,5580,87.36,16.726,1.534
152,1150,5597,87.92,16.724,1.535
153,1152,5605,88.55,16.724,1.531
154,1152,5614,88.96,16.727,1.537
155,1154,5631,89.36,16.727,1.543
156,1154,5640,90.17,16.723,1.556
157,1156,5657,91.00,16.725,1.565
158,1156,5674,91.96,16.725,1.569
159,1158,5811,91.97,16.724,1.556
160,1158,5862,92.24,16.723,1.564
161,1160,5871,92.46,16.727,1.580
162,1160,5871,93.30,16.722,1.585
163,1162,5880,94.37,16.726,1.589
164,1162,5880,95.09,16.724,1.584
165,1164,5888,95.59,16.725,1.594
166,1164,5888,95.70,16.723,1.607
167,1166,5888,95.82,16.722,1.611
168,1166,5888,96.37,16.718,1.608
169,1168,5888,96.89,16.724,1.610
170,1168,5888,97.83,16.724,1.614
171,1170,5888,98.65,16.725,1.625
172,1170,5888,99.08,16.727,1.631
173,1172,5948,99.30,16.727,1.636
174,1172,5965,99.59,16.725,1.642
175,1174,5965,100.31,16.726,1.649
176,1174,5965,100.98,16.726,1.652
177,1176,5965,101.50,16.724,1.666
178,1176,5965,101.95,16.727,1.666
179,1178,5965,102.85,16.726,1.661
180,1178,5965,103.11,16.726,1.690
181,1180,5965,103.41,16.720,1.681
182,1180,5965,103.90,16.723,1.697
183,1182,5965,104.70,16.717,1.701
184,1182,5965,105.62,16.718,1.713
185,1184,5965,106.05,16.720,1.728
186,1184,5965,106.48,16.719,1.731
187,1186,5965,107.19,16.718,1.748
188,1186,5965,108.28,16.724,1.741
189,1188,5965,109.00,16.723,1.747
190,1188,5982,109.88,16.720,1.760
191,1190,6008,110.11,16.721,1.771
192,1190,6042,110.78,16.720,1.770
193,1192,6094,111.60,16.724,1.784
194,1192,6120,113.25,16.724,1.795
195,1194,6128,113.98,16.718,1.794
196,1194,6128,114.67,16.718,1.811
197,1196,6171,115.45,16.730,1.808
198,1196,6240,116.07,16.720,1.822
199,1198,6531,116.48,16.719,1.828
200,1198,6617,117.05,16.721,1.851
201,1200,6702,119.45,16.718,1.842
202,1200,6805,120.14,16.722,1.858
203,1202,6891,120.78,16.722,1.857
204,1202,6960,121.74,16.716,1.869
205,1204,6994,122.66,16.714,1.881
206,1204,7011,123.73,16.717,1.916
207,1206,7028,124.40,16.717,1.918
208,1206,7037,126.29,16.721,1.909
209,1208,7045,127.43,16.716,1.908
210,1208,7088,127.59,16.719,1.933
211,1210,7105,128.46,16.713,1.938
212,1210,7114,129.96,16.719,1.956
213,1212,7157,130.94,16.720,1.952
214,1212,7191,131.76,16.717,1.954
215,1214,7234,133.43,16.717,1.961
216,1214,7277,134.35,16.716,1.982
217,1216,7320,135.39,16.714,1.994
218,1216,7345,136.16,16.715,2.011
219,1218,7371,137.37,16.720,2.015
220,1218,7388,138.46,16.723,2.024
221,1220,7414,138.89,16.720,2.012
222,1220,7440,140.93,16.718,2.035
223,1222,7440,141.98,16.713,2.049
224,1222,7457,142.75,16.716,2.043
225,1224,7508,143.54,16.718,2.051
226,1224,7542,144.39,16.717,2.074
227,1226,7602,144.73,16.719,2.104
228,1226,7637,145.56,16.715,2.105
229,1228,7654,147.66,16.715,2.122
230,1228,7680,148.38,16.710,2.117
231,1230,7714,148.90,16.716,2.134
232,1230,7748,149.42,16.720,2.140
233,1232,7791,150.64,16.718,2.139
234,1232,7825,150.78,16.718,2.167
235,1234,7842,151.19,16.715,2.166
236,1234,7868,152.48,16.712,2.190
237,1236,7885,153.26,16.714,2.187
238,1236,7911,154.12,16.714,2.202
239,1238,7937,155.19,16.711,2.206
240,1238,7954,156.26,16.708,2.201
241,1240,7980,157.26,16.712,2.191
242,1240,7988,157.93,16.713,2.238
243,1242,8014,159.11,16.715,2.244
244,1242,8048,160.46,16.717,2.277
245,1244,8074,161.53,16.716,2.267
246,1244,8091,162.23,16.706,2.281
247,1246,8117,163.14,16.714,2.281
248,1246,8134,164.34,16.715,2.298
249,1248,8151,165.28,16.714,2.305
250,1248,8177,167.12,16.714,2.317
251,1250,8228,168.12,16.708,2.333
252,1250,8254,169.06,16.711,2.333
253,1252,8280,169.62,16.717,2.344
254,1252,8288,170.80,16.717,2.361
255,1254,8305,172.05,16.713,2.378
256,1254,8322,173.19,16.709,2.392
257,1256,8348,175.14,16.711,2.381
258,1256,8382,175.84,16.712,2.393
259,1258,8408,176.76,16.714,2.403
260,1258,8434,177.63,16.711,2.447
261,1260,8460,178.97,16.711,2.439
262,1260,8485,179.80,16.706,2.428
263,1262,8502,181.29,16.711,2.430
264,1262,8511,182.83,16.709,2.464
265,1264,8537,183.54,16.706,2.485
266,1264,8545,184.18,16.712,2.497
267,1266,8571,185.20,16.708,2.501
268,1266,8580,185.72,16.710,2.517
269,1268,8605,186.80,16.707,2.504
270,1268,8622,186.84,16.709,2.536
271,1270,8665,187.26,16.709,2.555
272,1270,8691,188.48,16.709,2.569
273,1272,8708,189.55,16.706,2.577
274,1272,8725,190.66,16.708,2.595
275,1274,8751,191.61,16.707,2.590
276,1274,8760,192.63,16.706,2.599
277,1276,8794,193.50,16.707,2.611
278,1276,8820,195.86,16.708,2.620
279,1278,8845,196.86,16.707,2.641
280,1278,8871,197.50,16.703,2.660
281,1280,8880,198.16,16.705,2.668
282,1280,8948,199.09,16.707,2.696
283,1282,8974,200.00,16.706,2.716
284,1282,9017,201.19,16.705,2.741
285,1284,9025,203.85,16.701,2.741
286,1284,9068,204.49,16.703,2.755
287,1286,9094,205.43,16.699,2.763
288,1286,9120,206.98,16.700,2.778
289,1288,9145,207.71,16.704,2.780
290,1288,9171,208.62,16.705,2.812
291,1290,9197,209.72,16.701,2.817
292,1290,9231,211.67,16.699,2.849
293,1292,9248,212.71,16.697,2.857
294,1292,9257,214.08,16.702,2.857
295,1294,9291,214.94,16.700,2.856
296,1294,9334,215.98,16.699,2.884
297,1296,9360,216.76,16.703,2.885
298,1296,9377,217.88,16.701,2.899
299,1298,9394,219.20,16.701,2.907
300,1298,9420,220.19,16.700,2.913
301,1300,9437,221.59,16.704,2.934
302,1300,9454,222.36,16.702,2.949
303,1302,9471,222.93,16.701,2.950
304,1302,9514,223.76,16.699,2.963
305,1304,9540,224.72,16.700,2.966
306,1304,9540,226.43,16.701,2.986
307,1306,9557,226.83,16.701,2.995
308,1306,9565,227.37,16.698,3.009
309,1308,9582,228.40,16.697,3.027
310,1308,9608,229.15,16.700,3.036
311,1310,9617,230.03,16.702,3.035
312,1310,9651,230.88,16.697,3.052
313,1312,9660,232.10,16.701,3.083
314,1312,9694,233.42,16.698,3.101
315,1314,9728,234.55,16.688,3.107
316,1314,9762,235.36,16.697,3.111
317,1316,9780,235.80,16.699,3.118
318,1316,9797,236.52,16.695,3.141
319,1318,9805,237.38,16.697,3.169
320,1318,9814,239.62,16.689,3.201
321,1320,9840,240.48,16.690,3.196
322,1320,9874,241.08,16.696,3.193
323,1322,9908,241.65,16.696,3.199
324,1322,9925,242.44,16.694,3.215
325,1324,9934,243.36,16.692,3.244
326,1324,9960,244.27,16.696,3.244
327,1326,9977,246.01,16.691,3.258
328,1326,10011,247.31,16.694,3.281
329,1328,10037,248.12,16.693,3.276
330,1328,10054,248.64,16.691,3.306
331,1330,10071,248.54,16.694,3.311
332,1330,10080,249.59,16.695,3.321
333,1332,10097,250.94,16.691,3.330
334,1332,10122,252.82,16.694,3.351
335,1334,10140,253.82,16.692,3.370
336,1334,10140,254.15,16.691,3.415
337,1336,10165,255.03,16.687,3.389
338,1336,10191,256.62,16.694,3.382
339,1338,10200,257.08,16.687,3.393
340,1338,10234,257.72,16.689,3.414
341,1340,10242,259.43,16.692,3.425
342,1340,10260,260.39,16.690,3.450
343,1342,10277,261.21,16.689,3.451
344,1342,10302,261.84,16.690,3.478
345,1344,10320,262.76,16.690,3.480
346,1344,10337,263.00,16.683,3.499
347,1346,10362,263.68,16.686,3.507
348,1346,10380,265.11,16.689,3.515
349,1348,10388,265.98,16.690,3.521
350,1348,10397,266.73,16.683,3.552
351,1350,10414,267.53,16.685,3.562
352,1350,10448,268.12,16.686,3.591
353,1352,10474,268.93,16.690,3.608
354,1352,10500,269.94,16.683,3.607
355,1354,10491,271.98,16.684,3.609
356,1354,10508,272.24,16.682,3.638
357,1356,10525,273.07,16.686,3.649
358,1356,10560,274.33,16.686,3.673
359,1358,10585,274.88,16.687,3.685
360,1358,10602,275.49,16.686,3.698
361,1360,10620,276.64,16.684,3.721
362,1360,10637,278.41,16.684,3.734
363,1362,10654,279.10,16.680,3.727
364,1362,10680,280.02,16.684,3.730
365,1364,10680,280.66,16.684,3.740
366,1364,10714,281.59,16.680,3.767
367,1366,10740,282.47,16.683,3.791
368,1366,10774,283.50,16.683,3.828
369,1368,10782,285.49,16.683,3.827
370,1368,10808,286.50,16.686,3.832
371,1370,10825,286.83,16.680,3.848
372,1370,10851,287.62,16.678,3.868
373,1372,10868,289.01,16.683,3.890
374,1372,10894,289.66,16.674,3.927
375,1374,10920,290.52,16.683,3.929
376,1374,10937,291.59,16.682,3.925
377,1376,10945,293.52,16.675,3.950
378,1376,10971,293.80,16.686,3.956
379,1378,10988,294.61,16.679,3.969
380,1378,11005,295.57,16.684,4.000
381,1380,11022,296.54,16.679,4.017
382,1380,11040,297.39,16.677,4.030
383,1382,11057,297.96,16.677,4.042
384,1382,11065,299.95,16.677,4.062
385,1384,11100,300.91,16.674,4.068
386,1384,11117,301.71,16.678,4.083
387,1386,11125,302.13,16.680,4.090
388,1386,11125,303.32,16.678,4.094
389,1388,11151,304.23,16.672,4.120
390,1388,11177,304.75,16.674,4.158
391,1390,11194,306.70,16.680,4.174
392,1390,11220,307.65,16.677,4.159
393,1392,11228,308.57,16.677,4.176
394,1392,11245,309.21,16.673,4.208
395,1394,11237,310.03,16.682,4.215
396,1394,11228,311.31,16.678,4.200
397,1396,11262,311.61,16.674,4.216
398,1396,11297,312.13,16.672,4.258
399,1398,11348,313.28,16.674,4.271
400,1398,11365,314.61,16.677,4.296
401,1400,11357,316.08,16.672,4.302
402,1400,11365,316.38,16.675,4.325
403,1402,11382,316.82,16.674,4.327
404,1402,11442,317.76,16.674,4.362
405,1404,11460,319.51,16.674,4.362
406,1404,11460,320.50,16.669,4.396
407,1406,11460,321.56,16.671,4.391
408,1406,11477,322.12,16.671,4.410
409,1408,11511,322.81,16.668,4.419
410,1408,11545,323.39,16.672,4.453
411,1410,11562,323.92,16.670,4.445
412,1410,11588,325.77,16.669,4.483
413,1412,11588,326.72,16.670,4.480
414,1412,11597,327.41,16.674,4.477
415,1414,11605,328.33,16.665,4.512
416,1414,11640,328.79,16.672,4.518
417,1416,11631,329.61,16.666,4.551
418,1416,11665,330.66,16.668,4.570
419,1418,11700,332.12,16.669,4.569
420,1418,11700,332.45,16.668,4.591
421,1420,11700,333.12,16.677,4.615
422,1420,11708,334.47,16.665,4.626
423,1422,11708,335.78,16.667,4.642
424,1422,11742,336.67,16.664,4.643
425,1424,11785,337.61,16.664,4.633
426,1424,11785,338.84,16.668,4.662
427,1426,11811,339.70,16.669,4.686
428,1426,11820,340.11,16.669,4.696
429,1428,11837,341.22,16.667,4.745
430,1428,11845,342.05,16.663,4.747
431,1430,11880,342.30,16.664,4.756
432,1430,11897,343.15,16.666,4.762
433,1432,11931,345.11,16.663,4.773
434,1432,11948,345.75,16.663,4.805
435,1434,11965,346.16,16.665,4.835
436,1434,11974,347.17,16.666,4.839
437,1436,11991,348.36,16.665,4.821
438,1436,12017,348.70,16.664,4.836
439,1438,12034,349.40,16.666,4.850
440,1438,12042,350.98,16.660,4.888
441,1440,12034,351.88,16.658,4.890
442,1440,12051,352.85,16.661,4.918
443,1442,12060,353.87,16.659,4.945
444,1442,12077,354.52,16.662,4.983
445,1444,12128,354.60,16.660,4.992
446,1444,12154,355.92,16.662,4.986
447,1446,12162,357.13,16.662,4.995
448,1446,12180,358.78,16.658,5.019
449,1448,12171,359.39,16.660,5.087
450,1448,12197,361.08,16.659,5.109
451,1450,12231,362.91,16.655,5.069
452,1450,12248,363.12,16.662,5.074
453,1452,12265,363.39,16.656,5.099
454,1452,12282,364.55,16.661,5.147
455,1454,12308,366.36,16.655,5.127
456,1454,12325,367.22,16.659,5.134
457,1456,12334,367.79,16.658,5.152
458,1456,12351,368.54,16.658,5.190
459,1458,12351,368.97,16.657,5.238
460,1458,12385,369.85,16.655,5.262
461,1460,12411,371.33,16.658,5.256
462,1460,12437,373.37,16.655,5.258
463,1462,12454,373.86,16.653,5.235
464,1462,12462,374.34,16.651,5.289
465,1464,12454,375.19,16.657,5.299
466,1464,12471,376.35,16.655,5.344
467,1466,12488,377.23,16.656,5.352
468,1466,12522,378.48,16.652,5.356
469,1468,12540,380.12,16.654,5.348
470,1468,12548,380.66,16.654,5.358
471,1470,12565,381.42,16.652,5.390
472,1470,12574,381.69,16.653,5.428
473,1472,12591,382.95,16.655,5.456
474,1472,12608,383.71,16.653,5.476
475,1474,12642,384.44,16.649,5.462
476,1474,12651,386.51,16.650,5.496
477,1476,12651,387.17,16.649,5.553
478,1476,12677,388.24,16.650,5.517
479,1478,12685,389.47,16.645,5.551
480,1478,12711,389.79,16.646,5.814
481,1480,12737,391.06,16.647,5.443
482,1480,12737,394.13,16.649,5.429
483,1482,12720,391.44,16.645,5.609
484,1482,12737,393.12,16.652,5.434
485,1484,12737,393.66,16.646,5.466
