seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.78,0.78,13.01,0.000
2,1000,0,0.00,16.78,0.78,13.12,0.000
3,1002,0,0.00,16.78,0.78,13.11,0.000
4,1002,0,0.00,16.78,0.78,13.13,0.000
5,1004,0,0.00,16.78,0.78,13.10,0.000
6,1004,0,0.00,16.78,0.78,13.16,0.000
7,1006,0,0.00,16.78,0.78,13.05,0.000
8,1006,0,0.00,16.78,0.78,13.07,0.000
9,1008,0,0.00,16.78,0.78,13.11,0.000
10,1008,0,0.00,16.78,0.78,13.12,0.000
11,1010,0,0.00,16.78,0.78,13.08,0.000
12,1010,0,0.00,16.78,0.78,13.11,0.000
13,1012,0,0.00,16.78,0.77,12.98,0.000
14,1012,0,0.00,16.78,0.78,13.00,0.000
15,1014,0,0.00,16.77,0.79,13.29,0.000
16,1014,0,0.00,16.77,0.81,13.52,0.000
17,1016,0,0.00,16.78,0.81,13.58,0.000
18,1016,0,0.00,16.76,1.12,18.81,0.000
19,1018,0,1.91,16.76,1.60,26.88,0.071
20,1018,0,8.98,16.76,1.71,28.66,0.313
21,1020,0,14.08,16.76,1.67,27.93,0.504
22,1020,0,16.29,16.76,1.62,27.23,0.598
23,1022,0,17.47,16.76,1.44,24.21,0.722
24,1022,0,20.32,16.77,1.26,21.07,0.965
25,1024,0,21.96,16.77,1.12,18.82,1.167
26,1024,0,22.80,16.77,1.04,17.41,1.310
27,1026,0,23.20,16.77,1.02,17.09,1.358
28,1026,0,23.65,16.77,0.99,16.68,1.418
29,1028,0,24.33,16.77,0.97,16.33,1.490
30,1028,0,24.95,16.77,0.95,15.97,1.562
31,1030,0,25.26,16.77,0.95,15.88,1.590
32,1030,0,25.32,16.77,0.95,15.93,1.590
33,1032,0,25.23,16.77,0.94,15.82,1.595
34,1032,0,25.86,16.77,0.94,15.78,1.638
35,1034,0,26.20,16.77,0.94,15.73,1.666
36,1034,0,26.21,16.77,0.94,15.83,1.656
37,1036,0,25.86,16.78,0.94,15.74,1.643
38,1036,0,26.21,16.77,0.95,15.99,1.640
39,1038,0,26.21,16.77,0.95,15.91,1.647
40,1038,0,26.28,16.77,0.95,15.88,1.655
41,1040,0,26.48,16.77,0.95,15.91,1.664
42,1040,0,26.60,16.77,0.95,15.97,1.665
43,1042,0,26.45,16.77,0.96,16.02,1.650
44,1042,0,26.44,16.77,0.96,16.12,1.641
45,1044,0,26.73,16.77,0.96,16.07,1.664
46,1044,0,26.84,16.77,0.95,15.88,1.690
47,1046,0,26.80,16.77,0.95,15.87,1.689
48,1046,0,26.90,16.77,0.96,16.07,1.674
49,1048,0,26.83,16.77,0.96,16.17,1.659
50,1048,0,26.90,16.77,0.96,16.03,1.679
51,1050,0,27.01,16.77,0.96,16.11,1.676
52,1050,0,27.04,16.77,0.97,16.33,1.655
53,1052,0,27.23,16.77,0.98,16.36,1.664
54,1052,0,27.35,16.77,0.98,16.38,1.670
55,1054,0,27.19,16.77,0.97,16.20,1.678
56,1054,0,27.43,16.77,0.97,16.23,1.690
57,1056,0,27.41,16.77,0.97,16.22,1.690
58,1056,0,27.35,16.77,0.97,16.33,1.675
59,1058,0,27.52,16.77,0.98,16.45,1.673
60,1058,3968,27.81,16.77,0.98,16.51,1.684
61,1060,4002,27.72,16.77,0.98,16.48,1.682
62,1060,4045,27.72,16.77,0.99,16.59,1.671
63,1062,4080,27.70,16.77,0.99,16.57,1.672
64,1062,4114,27.79,16.77,0.99,16.67,1.667
65,1064,4148,27.90,16.77,0.99,16.65,1.676
66,1064,4200,28.05,16.77,1.00,16.70,1.680
67,1066,4234,28.27,16.77,1.00,16.72,1.690
68,1066,4251,28.30,16.77,1.00,16.69,1.696
69,1068,4268,28.55,16.77,1.00,16.85,1.694
70,1068,4294,28.55,16.77,1.01,16.92,1.687
71,1070,4320,28.69,16.77,1.02,17.02,1.685
72,1070,4328,28.97,16.77,1.02,17.03,1.701
73,1072,4337,29.25,16.77,1.02,17.06,1.715
74,1072,4362,29.23,16.77,1.02,17.07,1.712
75,1074,4362,30.34,16.77,1.02,17.06,1.779
76,1074,4371,30.34,16.77,1.02,17.14,1.770
77,1076,4371,30.52,16.77,1.02,17.03,1.792
78,1076,4371,30.68,16.77,1.03,17.20,1.784
79,1078,4388,30.59,16.77,1.02,17.13,1.786
80,1078,4388,30.51,16.77,1.05,17.56,1.737
81,1080,4388,30.62,16.77,1.04,17.52,1.748
82,1080,4388,31.35,16.77,1.04,17.36,1.806
