seq,pwm,rpm,thrust,voltage,current
1,1000,0,0.00,16.759,0.749
2,1000,0,0.00,16.763,0.748
3,1002,0,0.00,16.764,0.744
4,1002,0,0.00,16.765,0.760
5,1004,0,0.00,16.767,0.744
6,1004,0,0.00,16.760,0.755
7,1006,0,0.00,16.761,0.751
8,1006,0,0.00,16.762,0.749
9,1008,0,0.00,16.764,0.752
10,1008,0,0.00,16.764,0.757
11,1010,0,0.00,16.761,0.753
12,1010,0,0.00,16.765,0.752
13,1012,0,0.00,16.758,0.757
14,1012,0,0.00,16.760,0.755
15,1014,0,0.00,16.757,0.766
16,1014,0,0.00,16.756,0.775
17,1016,0,0.00,16.755,0.775
18,1016,0,0.00,16.748,1.125
19,1018,0,0.00,16.749,1.467
20,1018,0,2.66,16.748,1.433
21,1020,0,4.34,16.750,1.301
22,1020,0,5.88,16.752,1.163
23,1022,0,6.63,16.755,1.080
24,1022,0,7.38,16.749,1.073
25,1024,0,7.76,16.751,1.067
26,1024,0,9.24,16.753,1.039
27,1026,0,10.73,16.751,1.027
28,1026,0,11.04,16.753,1.003
29,1028,0,11.52,16.754,0.979
30,1028,0,11.93,16.751,0.975
31,1030,0,12.45,16.752,0.975
32,1030,0,12.96,16.757,0.972
33,1032,0,13.28,16.751,0.968
34,1032,0,13.73,16.757,0.960
35,1034,0,13.84,16.754,0.958
36,1034,0,14.13,16.753,0.952
37,1036,0,14.46,16.751,0.967
38,1036,0,14.72,16.753,0.971
39,1038,0,14.57,16.752,0.977
40,1038,0,14.75,16.753,0.974
41,1040,0,15.04,16.755,0.971
42,1040,0,15.73,16.751,0.979
43,1042,0,15.76,16.757,0.978
44,1042,0,16.19,16.751,0.977
45,1044,0,16.41,16.748,0.984
46,1044,0,16.61,16.750,0.977
47,1046,0,16.99,16.754,0.984
48,1046,0,17.17,16.756,0.991
49,1048,0,17.57,16.751,1.001
50,1048,0,17.85,16.756,0.999
51,1050,0,18.10,16.751,0.988
52,1050,0,18.22,16.755,1.002
53,1052,0,18.45,16.755,1.004
54,1052,0,18.23,16.753,1.013
55,1054,0,18.33,16.753,1.010
56,1054,0,19.53,16.755,1.005
57,1056,0,19.82,16.751,1.018
58,1056,0,20.10,16.748,1.027
59,1058,0,20.16,16.752,1.033
60,1058,0,20.68,16.751,1.029
61,1060,0,20.67,16.750,1.049
62,1060,0,20.58,16.749,1.044
63,1062,0,20.81,16.751,1.039
64,1062,0,21.10,16.748,1.047
65,1064,0,21.46,16.749,1.041
66,1064,0,21.79,16.751,1.056
67,1066,0,21.71,16.754,1.050
68,1066,0,22.05,16.753,1.063
69,1068,0,22.15,16.751,1.065
70,1068,0,22.28,16.757,1.069
71,1070,0,22.59,16.752,1.073
72,1070,0,23.30,16.752,1.076
73,1072,0,23.87,16.749,1.076
74,1072,4165,24.46,16.748,1.081
75,1074,4225,24.83,16.752,1.087
76,1074,4277,25.16,16.748,1.094
77,1076,4302,25.52,16.750,1.092
78,1076,4328,25.93,16.751,1.092
79,1078,4354,26.40,16.747,1.109
80,1078,4380,26.33,16.750,1.106
81,1080,4397,26.67,16.751,1.103
82,1080,4414,27.02,16.749,1.110
83,1082,4422,27.51,16.750,1.109
84,1082,4448,28.06,16.750,1.116
85,1084,4457,28.77,16.750,1.119
86,1084,4474,29.03,16.749,1.136
87,1086,4508,29.06,16.749,1.125
88,1086,4542,29.24,16.755,1.129
89,1088,4577,29.22,16.753,1.124
90,1088,4594,29.44,16.750,1.129
91,1090,4594,29.69,16.751,1.139
92,1090,4594,30.87,16.753,1.150
93,1092,4628,31.59,16.750,1.153
94,1092,4671,31.72,16.751,1.149
95,1094,4688,31.92,16.747,1.159
96,1094,4705,32.72,16.751,1.166
97,1096,4705,32.81,16.750,1.171
98,1096,4722,32.57,16.750,1.189
99,1098,4731,33.02,16.751,1.174
100,1098,4731,33.79,16.747,1.171
101,1100,4740,34.52,16.753,1.183
102,1100,4765,34.52,16.755,1.184
103,1102,4765,34.51,16.751,1.192
104,1102,4808,34.63,16.746,1.187
105,1104,4817,34.97,16.752,1.195
106,1104,4817,35.14,16.748,1.204
107,1106,4817,36.10,16.753,1.201
108,1106,4817,36.55,16.745,1.200
109,1108,4825,36.98,16.747,1.218
110,1108,4851,37.52,16.751,1.217
111,1110,4868,37.38,16.746,1.204
112,1110,4885,37.81,16.746,1.232
113,1112,4885,38.04,16.746,1.223
114,1112,4885,38.91,16.746,1.225
115,1114,4885,39.95,16.752,1.238
116,1114,4885,40.62,16.748,1.229
117,1116,4885,40.40,16.749,1.231
118,1116,4885,40.48,16.749,1.248
119,1118,4885,41.62,16.749,1.247
120,1118,4894,42.05,16.747,1.256
121,1120,4902,42.36,16.750,1.252
122,1120,4920,42.69,16.750,1.277
123,1122,4920,42.81,16.740,1.260
124,1122,4920,43.39,16.753,1.281
125,1124,4920,43.88,16.747,1.279
126,1124,4920,44.49,16.750,1.278
127,1126,4920,44.32,16.747,1.293
128,1126,4920,44.89,16.747,1.288
129,1128,4920,45.42,16.746,1.294
130,1128,4980,45.93,16.750,1.312
131,1130,4980,46.26,16.748,1.316
132,1130,4980,46.31,16.751,1.319
133,1132,4980,46.91,16.746,1.322
134,1132,4980,47.20,16.746,1.322
135,1134,4980,47.82,16.745,1.339
136,1134,4980,47.87,16.744,1.349
137,1136,4980,48.40,16.747,1.340
138,1136,4980,48.58,16.745,1.346
139,1138,4980,48.93,16.747,1.343
140,1138,4980,49.31,16.744,1.353
141,1140,4980,49.40,16.746,1.364
142,1140,4980,51.61,16.747,1.359
143,1142,4980,52.25,16.747,1.355
144,1142,4980,52.37,16.745,1.373
145,1144,4980,52.38,16.743,1.377
146,1144,4997,53.06,16.746,1.383
147,1146,4997,53.86,16.746,1.395
148,1146,4997,54.41,16.748,1.386
149,1148,4997,54.66,16.746,1.399
150,1148,4997,55.05,16.744,1.402
151,1150,4997,55.57,16.750,1.400
152,1150,4997,55.75,16.749,1.411
153,1152,4997,56.20,16.747,1.405
154,1152,4997,57.12,16.744,1.419
155,1154,4997,57.75,16.749,1.431
156,1154,4997,57.95,16.743,1.433
157,1156,4997,58.46,16.748,1.436
158,1156,4997,58.69,16.747,1.443
159,1158,4997,58.73,16.744,1.438
160,1158,4997,58.84,16.743,1.433
161,1160,4997,59.70,16.745,1.453
162,1160,4997,60.22,16.744,1.437
163,1162,5082,60.73,16.743,1.458
164,1162,5134,61.05,16.744,1.466
165,1164,5134,61.14,16.750,1.453
166,1164,5134,61.36,16.741,1.470
167,1166,5134,62.03,16.745,1.474
168,1166,5134,62.53,16.745,1.483
169,1168,5134,63.11,16.743,1.478
170,1168,5134,63.25,16.745,1.479
171,1170,5134,63.46,16.744,1.476
172,1170,5134,63.69,16.739,1.491
173,1172,5134,64.11,16.738,1.503
174,1172,5177,64.38,16.746,1.512
175,1174,5177,64.86,16.742,1.519
176,1174,5177,65.66,16.746,1.525
177,1176,5177,66.34,16.739,1.505
178,1176,5177,66.66,16.744,1.544
179,1178,5177,67.18,16.744,1.532
180,1178,5177,67.83,16.741,1.533
181,1180,5177,68.32,16.743,1.532
182,1180,5177,68.82,16.747,1.556
183,1182,5177,68.95,16.744,1.574
184,1182,5177,69.16,16.743,1.573
185,1184,5177,70.01,16.742,1.561
186,1184,5177,70.59,16.742,1.568
187,1186,5177,71.81,16.745,1.589
188,1186,5177,72.35,16.740,1.599
189,1188,5177,73.08,16.741,1.606
190,1188,5177,73.96,16.744,1.609
191,1190,5177,74.24,16.742,1.625
192,1190,5177,75.55,16.742,1.629
193,1192,5177,76.81,16.737,1.638
194,1192,5177,77.72,16.740,1.640
195,1194,5177,78.33,16.744,1.642
196,1194,5177,78.99,16.743,1.658
197,1196,5177,79.44,16.740,1.658
198,1196,5177,80.13,16.738,1.659
199,1198,5220,82.20,16.743,1.677
200,1198,5297,83.06,16.738,1.686
201,1200,5297,84.01,16.736,1.683
202,1200,5374,84.69,16.739,1.699
203,1202,5400,85.36,16.742,1.690
204,1202,5400,86.05,16.741,1.702
205,1204,5400,86.84,16.742,1.718
206,1204,5485,88.82,16.739,1.718
207,1206,5511,89.24,16.738,1.736
208,1206,5511,89.90,16.738,1.756
209,1208,5511,91.11,16.732,1.740
210,1208,5511,92.20,16.743,1.753
211,1210,5511,93.02,16.737,1.754
212,1210,5511,93.88,16.737,1.769
213,1212,5511,96.13,16.739,1.777
214,1212,5571,96.54,16.737,1.783
215,1214,5571,97.01,16.739,1.781
216,1214,5751,97.56,16.733,1.799
217,1216,6111,98.16,16.739,1.800
218,1216,6454,98.66,16.739,1.800
219,1218,6900,99.37,16.741,1.811
220,1218,7234,100.24,16.733,1.823
221,1220,7534,101.29,16.738,1.823
222,1220,7697,102.28,16.735,1.833
223,1222,7748,102.05,16.733,1.849
224,1222,7765,102.41,16.737,1.860
225,1224,7800,103.16,16.737,1.864
226,1224,7825,103.71,16.735,1.883
227,1226,7868,104.64,16.736,1.885
228,1226,7894,104.93,16.738,1.897
229,1228,7902,105.75,16.735,1.906
230,1228,7928,106.53,16.737,1.890
231,1230,7945,107.15,16.739,1.944
232,1230,7962,107.46,16.735,1.938
233,1232,7980,108.12,16.735,1.932
234,1232,7997,109.09,16.737,1.938
235,1234,8031,110.26,16.738,1.948
236,1234,8057,110.60,16.736,1.959
237,1236,8091,111.31,16.734,1.966
238,1236,8125,111.84,16.735,1.982
239,1238,8151,112.35,16.739,1.995
240,1238,8185,113.05,16.735,1.986
241,1240,8194,113.87,16.736,1.977
242,1240,8220,114.87,16.738,1.988
243,1242,8237,115.11,16.735,2.006
244,1242,8262,115.30,16.732,2.025
245,1244,8288,115.76,16.732,2.042
246,1244,8314,116.53,16.734,2.047
247,1246,8348,117.21,16.735,2.050
248,1246,8374,118.13,16.733,2.064
249,1248,8408,118.87,16.731,2.097
250,1248,8417,119.40,16.734,2.106
251,1250,8451,120.18,16.734,2.112
252,1250,8477,120.74,16.735,2.113
253,1252,8511,121.29,16.738,2.107
254,1252,8537,121.54,16.731,2.136
255,1254,8571,121.76,16.735,2.126
256,1254,8605,122.52,16.728,2.133
257,1256,8622,123.54,16.727,2.149
258,1256,8640,123.91,16.730,2.171
259,1258,8640,124.12,16.730,2.178
260,1258,8657,124.64,16.730,2.183
261,1260,8682,125.42,16.730,2.182
262,1260,8700,126.36,16.733,2.193
263,1262,8700,127.66,16.736,2.177
264,1262,8700,128.31,16.728,2.213
265,1264,8734,128.94,16.726,2.218
266,1264,8760,129.50,16.728,2.263
267,1266,8802,131.05,16.727,2.269
268,1266,8845,131.88,16.730,2.268
269,1268,8922,132.73,16.731,2.225
270,1268,8982,133.43,16.729,2.243
271,1270,8991,134.25,16.731,2.277
272,1270,9000,134.69,16.727,2.296
273,1272,9008,134.70,16.729,2.314
274,1272,9025,135.31,16.731,2.337
275,1274,9051,135.84,16.730,2.351
276,1274,9102,137.21,16.724,2.361
277,1276,9137,139.11,16.726,2.372
278,1276,9171,140.16,16.727,2.379
279,1278,9214,140.47,16.728,2.384
280,1278,9240,140.74,16.728,2.402
281,1280,9257,141.15,16.725,2.405
282,1280,9282,142.07,16.724,2.423
283,1282,9308,142.81,16.728,2.443
284,1282,9342,144.03,16.726,2.440
285,1284,9368,144.70,16.724,2.432
286,1284,9394,145.46,16.727,2.452
287,1286,9420,145.91,16.726,2.475
288,1286,9454,146.45,16.726,2.502
289,1288,9480,147.45,16.727,2.499
290,1288,9497,148.34,16.727,2.525
291,1290,9514,149.26,16.726,2.527
292,1290,9522,149.81,16.723,2.535
293,1292,9565,150.44,16.728,2.538
294,1292,9617,150.82,16.723,2.559
295,1294,9634,151.05,16.721,2.554
296,1294,9651,151.93,16.725,2.569
297,1296,9660,152.97,16.724,2.566
298,1296,9685,153.34,16.726,2.595
299,1298,9702,154.08,16.726,2.583
300,1298,9728,154.41,16.721,2.608
301,1300,9754,155.18,16.725,2.614
302,1300,9771,155.77,16.722,2.642
303,1302,9788,156.19,16.726,2.637
304,1302,9805,156.90,16.722,2.660
305,1304,9840,157.18,16.725,2.667
306,1304,9874,157.95,16.722,2.681
307,1306,9908,158.92,16.721,2.672
308,1306,9934,159.67,16.723,2.684
309,1308,9942,159.76,16.721,2.705
310,1308,9968,160.10,16.721,2.717
311,1310,9994,161.16,16.721,2.715
312,1310,10020,161.44,16.722,2.740
313,1312,10037,162.05,16.722,2.745
314,1312,10062,162.59,16.717,2.766
315,1314,10080,163.23,16.722,2.777
316,1314,10088,164.28,16.721,2.794
317,1316,10105,165.54,16.719,2.780
318,1316,10122,165.82,16.721,2.852
319,1318,10140,166.11,16.720,2.818
320,1318,10165,167.90,16.723,2.818
321,1320,10200,168.57,16.721,2.831
322,1320,10234,168.64,16.722,2.828
323,1322,10251,168.82,16.719,2.846
324,1322,10260,169.37,16.715,2.853
325,1324,10277,170.14,16.721,2.845
326,1324,10294,170.57,16.716,2.878
327,1326,10311,171.42,16.715,2.887
328,1326,10320,171.89,16.721,2.894
329,1328,10337,172.48,16.718,2.904
330,1328,10354,172.66,16.720,2.921
331,1330,10362,172.78,16.722,2.918
332,1330,10388,173.73,16.717,2.936
333,1332,10405,174.46,16.719,2.942
334,1332,10422,175.45,16.718,2.975
335,1334,10457,176.22,16.715,2.977
336,1334,10500,177.18,16.717,3.000
337,1336,10525,177.98,16.713,3.016
338,1336,10542,178.34,16.717,3.014
339,1338,10551,178.83,16.714,3.015
340,1338,10577,179.89,16.710,3.051
341,1340,10594,180.92,16.719,3.079
342,1340,10620,181.70,16.714,3.090
343,1342,10645,182.79,16.716,3.090
344,1342,10680,183.96,16.715,3.103
345,1344,10705,184.38,16.711,3.110
346,1344,10722,184.70,16.715,3.125
347,1346,10748,185.24,16.715,3.132
348,1346,10774,186.88,16.714,3.156
349,1348,10800,187.75,16.717,3.168
350,1348,10825,188.63,16.715,3.172
351,1350,10842,189.19,16.714,3.201
352,1350,10868,190.24,16.717,3.212
353,1352,10894,191.02,16.713,3.225
354,1352,10911,191.86,16.712,3.239
355,1354,10920,193.03,16.709,3.249
356,1354,10954,193.98,16.707,3.263
357,1356,10980,195.30,16.711,3.282
358,1356,11014,195.92,16.717,3.303
359,1358,11040,196.39,16.712,3.306
360,1358,11074,197.62,16.710,3.329
361,1360,11082,198.67,16.711,3.330
