seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.80,0.76,12.85,0.000
2,1000,0,0.67,16.81,0.77,12.91,0.052
3,1002,0,0.00,16.80,0.77,12.89,0.000
4,1002,0,0.00,16.81,0.76,12.84,0.000
5,1004,0,0.00,16.80,0.77,12.93,0.000
6,1004,0,0.00,16.81,0.77,12.92,0.000
7,1006,0,0.57,16.81,0.77,12.89,0.044
8,1006,0,0.77,16.81,0.77,12.87,0.059
9,1008,0,0.00,16.81,0.76,12.82,0.000
10,1008,0,0.00,16.81,0.77,12.86,0.000
11,1010,0,0.00,16.81,0.76,12.74,0.000
12,1010,0,0.00,16.80,0.76,12.84,0.000
13,1012,0,0.00,16.81,0.76,12.80,0.000
14,1012,0,0.00,16.80,0.77,12.86,0.000
15,1014,0,0.00,16.80,0.79,13.19,0.000
16,1014,0,0.00,16.80,0.79,13.24,0.000
17,1016,0,0.00,16.80,0.80,13.39,0.000
18,1016,0,0.00,16.80,1.10,18.47,0.000
19,1018,0,0.65,16.78,1.53,25.71,0.025
20,1018,0,5.67,16.79,1.66,27.90,0.203
21,1020,0,8.96,16.79,1.66,27.82,0.322
22,1020,0,10.80,16.79,1.62,27.22,0.397
23,1022,0,11.39,16.79,1.50,25.10,0.454
24,1022,0,12.21,16.79,1.35,22.63,0.540
25,1024,0,13.13,16.79,1.20,20.19,0.650
26,1024,0,14.61,16.80,1.11,18.63,0.784
27,1026,0,15.41,16.80,1.06,17.86,0.862
28,1026,0,15.49,16.80,1.05,17.57,0.882
29,1028,0,15.55,16.79,1.03,17.35,0.897
30,1028,0,15.98,16.80,1.00,16.81,0.951
31,1030,0,17.36,16.79,0.98,16.51,1.051
32,1030,0,17.80,16.80,0.98,16.44,1.083
33,1032,0,17.77,16.80,0.97,16.29,1.090
34,1032,0,17.94,16.80,0.96,16.06,1.117
35,1034,0,18.19,16.80,0.95,16.01,1.136
36,1034,0,18.22,16.80,0.95,16.01,1.138
37,1036,0,18.24,16.80,0.95,15.99,1.141
38,1036,0,18.33,16.80,0.96,16.06,1.141
39,1038,0,18.88,16.80,0.95,15.92,1.187
40,1038,0,19.05,16.79,0.96,16.16,1.179
41,1040,0,19.38,16.80,0.95,15.93,1.216
42,1040,0,19.49,16.80,0.95,15.97,1.220
43,1042,0,19.41,16.80,0.95,16.03,1.211
44,1042,0,19.30,16.80,0.96,16.14,1.196
45,1044,0,19.77,16.80,0.95,15.99,1.236
46,1044,0,19.78,16.79,0.96,16.12,1.227
47,1046,0,19.98,16.80,0.96,16.07,1.243
48,1046,0,20.43,16.80,0.96,16.21,1.261
49,1048,0,20.53,16.80,0.96,16.11,1.275
50,1048,0,20.70,16.80,0.97,16.22,1.276
51,1050,0,20.67,16.79,0.96,16.19,1.277
52,1050,0,20.66,16.79,0.98,16.39,1.260
53,1052,0,21.12,16.79,0.97,16.37,1.290
54,1052,0,21.10,16.79,0.98,16.51,1.278
55,1054,0,21.24,16.80,0.98,16.39,1.296
56,1054,0,21.28,16.80,0.97,16.31,1.305
57,1056,0,21.38,16.80,0.98,16.42,1.302
58,1056,0,21.61,16.80,0.98,16.45,1.314
59,1058,0,21.94,16.79,0.98,16.52,1.327
60,1058,0,22.20,16.80,0.99,16.62,1.335
61,1060,4002,21.98,16.80,0.99,16.71,1.315
62,1060,4028,22.26,16.80,1.00,16.80,1.325
63,1062,4062,22.71,16.79,1.00,16.72,1.358
64,1062,4088,22.84,16.80,1.01,16.93,1.349
65,1064,4114,22.91,16.80,1.01,16.98,1.349
66,1064,4157,23.25,16.79,1.01,16.91,1.375
67,1066,4182,23.65,16.80,1.00,16.86,1.403
68,1066,4217,23.64,16.80,1.01,16.92,1.397
69,1068,4234,23.82,16.80,1.01,16.94,1.406
70,1068,4260,24.04,16.79,1.02,17.16,1.401
71,1070,4277,24.12,16.79,1.02,17.09,1.412
72,1070,4294,24.56,16.79,1.02,17.18,1.430
73,1072,4311,24.96,16.80,1.02,17.20,1.451
74,1072,4328,24.85,16.80,1.02,17.18,1.447
75,1074,4345,25.42,16.80,1.03,17.30,1.470
76,1074,4354,26.00,16.80,1.04,17.39,1.495
77,1076,4371,26.62,16.79,1.03,17.26,1.542
78,1076,4388,26.73,16.80,1.04,17.41,1.536
79,1078,4405,26.65,16.80,1.03,17.36,1.535
80,1078,4405,26.80,16.80,1.04,17.42,1.539
81,1080,4431,26.98,16.79,1.04,17.54,1.538
82,1080,4457,27.27,16.79,1.07,17.92,1.522
83,1082,4465,27.95,16.79,1.07,18.01,1.552
84,1082,4491,29.23,16.80,1.07,17.92,1.631
85,1084,4525,29.74,16.79,1.07,17.90,1.661
86,1084,4551,29.90,16.79,1.06,17.88,1.672
87,1086,4577,30.23,16.79,1.06,17.87,1.691
88,1086,4577,30.27,16.80,1.06,17.87,1.694
89,1088,4577,30.22,16.80,1.06,17.89,1.689
90,1088,4577,30.37,16.79,1.07,18.03,1.684
91,1090,4577,30.54,16.80,1.07,18.03,1.694
92,1090,4577,31.20,16.79,1.08,18.06,1.727
93,1092,4577,31.59,16.80,1.08,18.17,1.738
94,1092,4645,31.76,16.79,1.08,18.15,1.750
95,1094,4697,32.10,16.79,1.08,18.12,1.772
96,1094,4731,32.37,16.79,1.08,18.15,1.783
97,1096,4740,32.48,16.79,1.09,18.28,1.777
98,1096,4740,32.29,16.79,1.10,18.49,1.746
99,1098,4740,32.70,16.79,1.10,18.47,1.770
100,1098,4740,33.16,16.79,1.10,18.43,1.799
101,1100,4740,33.30,16.79,1.11,18.59,1.791
102,1100,4740,33.41,16.79,1.11,18.70,1.786
103,1102,4740,33.72,16.80,1.11,18.64,1.809
104,1102,4740,34.17,16.79,1.10,18.46,1.852
105,1104,4740,34.62,16.79,1.10,18.49,1.873
106,1104,4740,35.09,16.79,1.12,18.72,1.874
107,1106,4740,35.68,16.79,1.12,18.81,1.896
108,1106,4740,36.07,16.79,1.13,18.99,1.899
109,1108,4740,36.11,16.79,1.15,19.25,1.876
110,1108,4740,36.36,16.79,1.13,19.02,1.912
111,1110,4740,36.64,16.79,1.12,18.78,1.951
112,1110,4740,36.95,16.80,1.12,18.90,1.956
113,1112,4740,37.42,16.79,1.13,18.97,1.973
114,1112,4740,37.59,16.79,1.14,19.20,1.957
115,1114,4740,37.68,16.80,1.13,19.05,1.978
116,1114,4791,38.02,16.79,1.15,19.28,1.972
117,1116,4834,38.28,16.79,1.16,19.47,1.966
118,1116,4834,38.62,16.79,1.16,19.45,1.986
119,1118,4834,38.90,16.79,1.15,19.40,2.006
120,1118,4834,39.20,16.79,1.17,19.63,1.996
121,1120,4834,39.19,16.79,1.16,19.50,2.010
122,1120,4834,39.25,16.79,1.16,19.43,2.020
123,1122,4834,39.66,16.79,1.17,19.57,2.026
124,1122,4834,39.90,16.79,1.18,19.79,2.016
125,1124,4834,40.20,16.79,1.18,19.73,2.037
126,1124,4834,40.53,16.79,1.18,19.81,2.047
127,1126,4834,40.94,16.79,1.19,19.96,2.051
128,1126,4834,41.23,16.80,1.19,20.01,2.061
129,1128,4834,41.30,16.79,1.20,20.18,2.046
130,1128,4834,41.91,16.80,1.20,20.16,2.078
131,1130,4834,42.88,16.79,1.20,20.16,2.127
132,1130,4834,44.06,16.79,1.20,20.20,2.181
133,1132,4834,44.15,16.80,1.21,20.26,2.179
134,1132,4834,44.39,16.80,1.23,20.63,2.152
135,1134,4834,44.52,16.79,1.22,20.47,2.175
136,1134,4834,44.60,16.79,1.22,20.56,2.169
137,1136,4834,44.89,16.79,1.21,20.40,2.200
138,1136,4834,45.76,16.79,1.21,20.37,2.247
139,1138,4834,46.12,16.79,1.22,20.54,2.245
140,1138,4834,46.63,16.79,1.23,20.62,2.261
141,1140,4834,46.58,16.79,1.24,20.84,2.235
142,1140,4834,46.71,16.80,1.25,20.91,2.234
143,1142,4834,47.24,16.79,1.25,20.98,2.251
144,1142,4920,47.41,16.79,1.23,20.72,2.288
145,1144,5125,48.02,16.79,1.23,20.68,2.322
146,1144,5168,48.79,16.79,1.26,21.10,2.313
147,1146,5168,48.60,16.79,1.26,21.08,2.306
148,1146,5168,48.66,16.79,1.26,21.14,2.301
149,1148,5168,48.92,16.79,1.26,21.12,2.316
150,1148,5168,49.18,16.79,1.27,21.28,2.311
151,1150,5168,49.90,16.79,1.27,21.32,2.341
152,1150,5168,50.40,16.79,1.27,21.40,2.355
153,1152,5168,51.08,16.79,1.27,21.39,2.388
154,1152,5168,51.30,16.79,1.27,21.33,2.404
155,1154,5168,51.88,16.79,1.28,21.44,2.420
156,1154,5168,52.20,16.79,1.30,21.89,2.385
157,1156,5168,52.51,16.79,1.28,21.58,2.433
158,1156,5168,53.31,16.79,1.28,21.44,2.486
159,1158,5168,54.12,16.79,1.28,21.42,2.527
160,1158,5168,54.71,16.79,1.29,21.65,2.528
161,1160,5168,54.77,16.79,1.30,21.81,2.511
162,1160,5168,55.22,16.79,1.30,21.84,2.528
163,1162,5168,55.77,16.80,1.30,21.81,2.557
164,1162,5168,55.86,16.79,1.31,22.06,2.532
165,1164,5168,56.58,16.79,1.31,22.04,2.567
166,1164,5168,57.19,16.79,1.32,22.12,2.585
167,1166,5168,57.58,16.79,1.30,21.85,2.635
168,1166,5194,57.72,16.79,1.33,22.40,2.577
169,1168,5194,58.48,16.79,1.32,22.20,2.634
170,1168,5194,59.33,16.79,1.32,22.24,2.667
171,1170,5194,59.88,16.79,1.32,22.18,2.699
172,1170,5194,60.24,16.79,1.33,22.39,2.691
173,1172,5194,60.38,16.79,1.34,22.57,2.675
174,1172,5194,61.03,16.79,1.35,22.69,2.689
175,1174,5194,61.58,16.79,1.36,22.81,2.699
176,1174,5194,62.34,16.79,1.36,22.81,2.733
177,1176,5194,63.47,16.79,1.34,22.58,2.811
178,1176,5220,63.92,16.79,1.37,23.03,2.775
179,1178,5220,64.47,16.79,1.37,22.98,2.805
180,1178,5220,64.89,16.79,1.38,23.13,2.805
181,1180,5451,65.73,16.79,1.38,23.22,2.831
182,1180,5477,67.21,16.79,1.40,23.44,2.868
183,1182,5477,67.51,16.79,1.38,23.22,2.908
184,1182,5477,68.22,16.79,1.41,23.70,2.879
185,1184,5477,68.81,16.79,1.41,23.68,2.906
186,1184,5477,69.35,16.79,1.40,23.47,2.955
187,1186,5477,70.02,16.79,1.41,23.69,2.956
188,1186,5477,71.13,16.79,1.40,23.54,3.022
189,1188,5477,72.04,16.79,1.40,23.44,3.074
190,1188,5477,72.55,16.79,1.41,23.66,3.066
191,1190,5477,73.00,16.79,1.42,23.81,3.066
192,1190,5511,73.52,16.79,1.44,24.09,3.051
193,1192,5537,74.06,16.79,1.43,24.02,3.084
194,1192,5571,74.90,16.79,1.44,24.15,3.102
195,1194,5571,75.27,16.79,1.45,24.27,3.101
196,1194,5571,75.83,16.79,1.44,24.25,3.127
197,1196,5571,76.47,16.79,1.45,24.41,3.133
198,1196,5700,77.15,16.79,1.46,24.53,3.145
199,1198,5700,77.80,16.79,1.45,24.35,3.195
200,1198,5905,77.94,16.79,1.47,24.60,3.169
201,1200,5940,78.19,16.78,1.47,24.72,3.164
202,1200,6334,79.20,16.79,1.47,24.67,3.211
203,1202,6900,79.75,16.78,1.48,24.82,3.213
204,1202,7482,79.59,16.79,1.49,25.08,3.174
205,1204,7748,80.00,16.79,1.49,24.96,3.206
206,1204,7851,81.02,16.78,1.49,25.05,3.234
207,1206,7911,81.69,16.79,1.50,25.16,3.246
208,1206,7937,81.77,16.79,1.50,25.21,3.243
209,1208,7945,82.03,16.79,1.50,25.12,3.265
210,1208,7962,83.06,16.79,1.51,25.32,3.280
211,1210,7988,83.59,16.79,1.53,25.65,3.258
212,1210,8005,83.95,16.79,1.53,25.74,3.262
213,1212,8014,84.61,16.79,1.51,25.35,3.337
214,1212,8040,85.15,16.79,1.52,25.46,3.344
215,1214,8065,85.58,16.78,1.52,25.53,3.352
216,1214,8091,86.05,16.79,1.55,26.03,3.306
217,1216,8125,86.36,16.78,1.57,26.38,3.274
218,1216,8177,87.23,16.78,1.55,25.97,3.359
219,1218,8220,88.25,16.79,1.55,26.01,3.393
220,1218,8262,88.92,16.78,1.56,26.19,3.395
221,1220,8297,88.91,16.79,1.57,26.37,3.372
222,1220,8322,89.74,16.78,1.57,26.39,3.400
223,1222,8348,90.72,16.78,1.57,26.41,3.435
224,1222,8382,91.27,16.78,1.59,26.70,3.418
225,1224,8408,91.81,16.79,1.62,27.19,3.376
226,1224,8442,92.51,16.78,1.63,27.36,3.381
227,1226,8477,93.53,16.79,1.62,27.14,3.446
228,1226,8520,94.22,16.78,1.62,27.18,3.466
229,1228,8554,94.86,16.78,1.61,27.09,3.502
230,1228,8580,95.47,16.78,1.61,27.06,3.528
231,1230,8605,95.79,16.78,1.61,27.09,3.535
232,1230,8631,96.17,16.78,1.63,27.37,3.514
233,1232,8640,96.69,16.78,1.64,27.53,3.513
234,1232,8657,96.98,16.78,1.65,27.72,3.499
235,1234,8674,97.25,16.78,1.66,27.81,3.497
236,1234,8700,97.91,16.78,1.67,27.95,3.503
237,1236,8734,98.75,16.78,1.67,28.04,3.522
238,1236,8751,99.58,16.78,1.68,28.22,3.529
239,1238,8777,100.21,16.78,1.71,28.61,3.503
240,1238,8811,100.84,16.78,1.71,28.78,3.504
241,1240,8888,101.89,16.78,1.73,28.97,3.517
242,1240,8940,103.33,16.78,1.72,28.88,3.577
243,1242,8974,104.37,16.78,1.73,28.97,3.603
244,1242,9017,105.23,16.78,1.74,29.17,3.607
245,1244,9051,106.08,16.78,1.76,29.50,3.596
246,1244,9077,106.62,16.78,1.76,29.50,3.615
247,1246,9120,107.56,16.78,1.78,29.80,3.610
248,1246,9162,108.45,16.78,1.79,29.97,3.619
249,1248,9205,109.27,16.78,1.80,30.18,3.620
250,1248,9240,109.86,16.78,1.79,30.11,3.648
251,1250,9282,110.33,16.78,1.80,30.16,3.658
252,1250,9317,111.72,16.78,1.80,30.20,3.700
253,1252,9351,112.28,16.78,1.80,30.27,3.709
254,1252,9394,112.73,16.78,1.82,30.58,3.686
255,1254,9420,113.45,16.78,1.82,30.60,3.708
256,1254,9454,114.22,16.78,1.84,30.86,3.701
257,1256,9497,114.68,16.78,1.84,30.88,3.714
258,1256,9531,115.45,16.78,1.85,31.09,3.714
259,1258,9565,116.37,16.78,1.86,31.15,3.736
260,1258,9608,117.14,16.78,1.85,31.06,3.772
261,1260,9634,117.66,16.78,1.86,31.24,3.767
262,1260,9668,118.19,16.78,1.87,31.37,3.767
263,1262,9694,118.70,16.78,1.86,31.22,3.803
264,1262,9728,119.27,16.78,1.89,31.66,3.768
265,1264,9754,120.02,16.78,1.89,31.71,3.785
266,1264,9780,120.79,16.78,1.89,31.72,3.808
267,1266,9805,121.14,16.78,1.89,31.74,3.817
268,1266,9831,121.58,16.78,1.90,31.89,3.813
269,1268,9865,121.91,16.78,1.91,32.05,3.804
270,1268,9891,122.40,16.78,1.91,32.10,3.813
271,1270,9908,122.95,16.78,1.91,32.11,3.829
272,1270,9934,123.59,16.78,1.91,32.06,3.856
273,1272,9960,124.47,16.78,1.92,32.19,3.867
274,1272,9985,124.73,16.78,1.94,32.51,3.837
275,1274,10011,125.09,16.78,1.94,32.52,3.847
276,1274,10037,125.53,16.78,1.95,32.74,3.834
277,1276,10054,125.98,16.78,1.95,32.76,3.846
278,1276,10088,126.53,16.78,1.96,32.94,3.841
279,1278,10105,127.12,16.78,1.95,32.76,3.880
280,1278,10140,127.66,16.78,2.03,34.00,3.755
281,1280,10165,128.61,16.78,1.98,33.29,3.864
282,1280,10191,129.49,16.78,1.98,33.29,3.889
283,1282,10208,129.56,16.78,1.98,33.23,3.899
284,1282,10234,129.84,16.78,1.99,33.38,3.890
285,1284,10251,130.04,16.78,2.01,33.64,3.865
286,1284,10277,130.67,16.78,2.02,33.81,3.865
287,1286,10302,131.05,16.78,2.02,33.85,3.872
288,1286,10320,131.76,16.78,2.03,34.08,3.866
289,1288,10345,132.18,16.77,2.04,34.20,3.865
290,1288,10380,132.69,16.78,2.06,34.56,3.839
291,1290,10397,133.12,16.77,2.06,34.60,3.848
292,1290,10422,133.69,16.78,2.07,34.79,3.843
293,1292,10440,134.55,16.78,2.08,34.86,3.859
294,1292,10474,135.04,16.77,2.09,35.06,3.852
295,1294,10508,135.78,16.78,2.09,35.05,3.874
296,1294,10534,136.13,16.78,2.10,35.19,3.868
297,1296,10568,136.59,16.77,2.11,35.33,3.867
298,1296,10594,137.29,16.77,2.13,35.78,3.838
299,1298,10637,137.93,16.78,2.14,35.95,3.837
300,1298,10662,138.70,16.77,2.14,35.97,3.856
301,1300,10697,139.25,16.77,2.15,36.01,3.867
302,1300,10722,140.50,16.77,2.15,36.11,3.891
303,1302,10757,141.15,16.77,2.16,36.26,3.893
304,1302,10808,141.76,16.77,2.18,36.62,3.871
305,1304,10842,142.18,16.77,2.20,36.83,3.861
306,1304,10877,142.84,16.78,2.19,36.75,3.887
307,1306,10911,144.10,16.78,2.19,36.73,3.923
308,1306,10920,144.95,16.77,2.20,36.93,3.925
309,1308,10937,145.55,16.77,2.22,37.22,3.911
310,1308,10954,146.58,16.77,2.24,37.53,3.906
311,1310,10997,147.47,16.77,2.24,37.49,3.934
312,1310,11022,148.28,16.77,2.24,37.61,3.942
313,1312,11040,148.76,16.77,2.26,37.87,3.928
314,1312,11065,149.82,16.77,2.27,38.12,3.931
315,1314,11100,150.55,16.77,2.27,38.12,3.949
316,1314,11117,151.46,16.78,2.28,38.27,3.957
317,1316,11151,152.14,16.77,2.26,37.99,4.005
318,1316,11194,153.01,16.77,2.28,38.25,4.001
319,1318,11220,153.35,16.77,2.30,38.52,3.982
320,1318,11228,153.69,16.78,2.31,38.73,3.968
321,1320,11245,154.62,16.77,2.32,38.89,3.975
322,1320,11280,155.38,16.77,2.32,38.95,3.989
323,1322,11305,156.22,16.77,2.32,38.97,4.009
324,1322,11331,156.90,16.77,2.32,38.98,4.025
325,1324,11348,157.31,16.77,2.33,39.06,4.028
326,1324,11374,157.75,16.78,2.33,39.05,4.040
327,1326,11400,158.00,16.77,2.34,39.18,4.033
328,1326,11425,158.88,16.77,2.35,39.34,4.039
329,1328,11442,159.47,16.77,2.35,39.42,4.046
330,1328,11460,159.72,16.77,2.36,39.62,4.032
331,1330,11477,160.22,16.77,2.36,39.59,4.047
332,1330,11494,160.56,16.77,2.37,39.75,4.040
333,1332,11520,161.02,16.77,2.38,39.89,4.037
334,1332,11545,161.45,16.77,2.39,40.02,4.034
335,1334,11571,162.12,16.77,2.40,40.20,4.033
336,1334,11588,162.47,16.77,2.41,40.42,4.020
337,1336,11614,163.36,16.77,2.41,40.34,4.050
338,1336,11631,163.88,16.77,2.40,40.30,4.066
339,1338,11657,164.49,16.77,2.41,40.39,4.072
340,1338,11665,164.84,16.77,2.42,40.59,4.061
341,1340,11674,165.13,16.77,2.43,40.69,4.058
342,1340,11700,165.47,16.77,2.45,41.03,4.033
343,1342,11734,166.65,16.77,2.44,40.87,4.077
344,1342,11742,167.31,16.77,2.45,41.09,4.071
345,1344,11751,167.63,16.77,2.45,41.09,4.080
346,1344,11751,167.83,16.77,2.47,41.36,4.058
347,1346,11785,168.26,16.77,2.47,41.49,4.056
348,1346,11811,168.83,16.77,2.48,41.61,4.057
349,1348,11854,169.59,16.77,2.46,41.23,4.113
350,1348,11854,170.05,16.77,2.50,41.87,4.061
351,1350,11871,170.69,16.77,2.48,41.50,4.113
352,1350,11897,171.44,16.77,2.48,41.54,4.127
353,1352,11931,171.60,16.77,2.49,41.76,4.109
354,1352,11948,171.93,16.77,2.52,42.22,4.072
355,1354,11957,172.45,16.77,2.52,42.33,4.074
356,1354,11974,172.88,16.77,2.53,42.38,4.079
357,1356,12000,173.63,16.77,2.53,42.43,4.093
358,1356,12017,174.13,16.77,2.55,42.77,4.071
359,1358,12034,174.69,16.77,2.56,42.95,4.067
360,1358,12060,175.17,16.76,2.57,43.07,4.068
361,1360,12085,176.13,16.77,2.57,43.12,4.085
362,1360,12094,176.88,16.77,2.58,43.22,4.092
363,1362,12120,177.28,16.77,2.60,43.55,4.071
364,1362,12145,177.76,16.77,2.60,43.52,4.084
365,1364,12171,178.72,16.77,2.59,43.50,4.109
366,1364,12171,179.35,16.77,2.61,43.70,4.104
367,1366,12188,179.72,16.76,2.60,43.50,4.132
368,1366,12205,180.07,16.77,2.62,43.86,4.106
369,1368,12222,180.51,16.77,2.63,44.05,4.098
370,1368,12248,181.11,16.77,2.62,43.93,4.122
371,1370,12248,181.87,16.77,2.62,43.95,4.138
372,1370,12274,182.15,16.77,2.63,44.05,4.135
373,1372,12282,182.85,16.76,2.63,44.10,4.146
374,1372,12308,182.85,16.76,2.65,44.48,4.111
375,1374,12325,183.33,16.76,2.66,44.63,4.108
376,1374,12334,184.01,16.77,2.66,44.61,4.125
377,1376,12360,184.51,16.76,2.68,44.95,4.105
378,1376,12385,185.10,16.76,2.68,44.88,4.125
379,1378,12402,185.97,16.76,2.67,44.82,4.149
380,1378,12420,186.42,16.76,2.68,44.95,4.147
381,1380,12428,186.92,16.76,2.70,45.25,4.131
382,1380,12437,187.66,16.76,2.71,45.37,4.136
383,1382,12454,187.86,16.76,2.69,45.08,4.168
384,1382,12471,188.38,16.76,2.69,45.14,4.173
385,1384,12480,188.99,16.77,2.70,45.27,4.175
386,1384,12497,189.30,16.76,2.72,45.61,4.150
387,1386,12514,190.00,16.76,2.72,45.61,4.165
388,1386,12531,190.55,16.76,2.75,46.16,4.128
389,1388,12548,191.06,16.77,2.74,45.95,4.158
390,1388,12565,191.93,16.77,2.76,46.20,4.154
391,1390,12574,192.31,16.76,2.76,46.28,4.156
392,1390,12582,193.08,16.76,2.73,45.72,4.223
393,1392,12591,193.25,16.76,2.73,45.74,4.225
394,1392,12600,193.38,16.76,2.76,46.28,4.178
395,1394,12617,193.81,16.76,2.77,46.40,4.177
396,1394,12642,194.22,16.76,2.79,46.71,4.158
397,1396,12642,194.90,16.76,2.80,47.01,4.146
398,1396,12651,195.70,16.76,2.80,46.95,4.168
399,1398,12660,197.14,16.76,2.76,46.27,4.261
400,1398,12720,197.97,16.76,2.99,50.06,3.955
401,1400,12788,199.53,16.76,2.79,46.77,4.266
402,1400,12797,201.02,16.76,2.87,48.16,4.174
403,1402,12805,200.50,16.76,2.85,47.73,4.201
404,1402,12805,201.25,16.76,2.83,47.46,4.240
405,1404,12797,201.80,16.76,2.83,47.51,4.248
406,1404,12805,201.83,16.76,2.78,46.66,4.325
407,1406,12805,201.92,16.76,2.80,46.90,4.305
408,1406,12814,202.25,16.76,2.80,47.01,4.302
409,1408,12805,202.63,16.76,2.83,47.36,4.279
410,1408,12822,203.16,16.76,2.89,48.51,4.188
411,1410,12848,203.23,16.76,2.88,48.25,4.212
412,1410,12865,203.98,16.76,2.89,48.45,4.210
413,1412,12891,204.86,16.76,2.88,48.27,4.244
414,1412,12917,205.40,16.76,2.84,47.55,4.320
415,1414,12900,205.54,16.76,2.86,47.91,4.290
416,1414,12917,205.53,16.76,2.89,48.38,4.248
417,1416,12925,205.94,16.76,2.92,48.85,4.216
418,1416,12960,206.44,16.76,2.92,48.99,4.213
419,1418,12985,207.04,16.76,2.94,49.20,4.208
420,1418,12994,207.78,16.76,2.96,49.64,4.186
421,1420,13002,208.44,16.76,2.97,49.77,4.188
422,1420,13037,209.31,16.76,2.98,50.01,4.186
