seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.90,16.80,0.78,13.03,0.069
2,1000,0,0.84,16.80,0.77,13.01,0.065
3,1002,0,1.06,16.80,0.77,12.97,0.082
4,1002,0,1.12,16.80,0.78,13.04,0.086
5,1004,0,0.88,16.80,0.78,13.13,0.067
6,1004,0,0.82,16.80,0.77,13.01,0.063
7,1006,0,1.01,16.80,0.77,13.00,0.078
8,1006,0,1.16,16.80,0.77,12.98,0.089
9,1008,0,1.25,16.80,0.78,13.08,0.095
10,1008,0,1.17,16.80,0.78,13.09,0.089
11,1010,0,0.82,16.80,0.78,13.02,0.063
12,1010,0,0.94,16.80,0.78,13.13,0.072
13,1012,0,1.08,16.80,0.78,13.04,0.083
14,1012,0,1.15,16.80,0.77,12.99,0.088
15,1014,0,1.11,16.80,0.79,13.22,0.084
16,1014,0,1.04,16.80,0.80,13.45,0.077
17,1016,0,0.97,16.79,0.80,13.45,0.072
18,1016,0,1.03,16.79,1.08,18.08,0.057
19,1018,0,2.31,16.78,1.56,26.14,0.089
20,1018,0,6.07,16.78,1.73,29.07,0.209
21,1020,0,8.14,16.77,1.74,29.25,0.279
22,1020,0,9.35,16.78,1.69,28.35,0.330
23,1022,0,10.20,16.78,1.58,26.57,0.384
24,1022,0,11.32,16.78,1.44,24.23,0.467
25,1024,0,13.27,16.79,1.34,22.51,0.590
26,1024,0,14.98,16.79,1.23,20.66,0.725
27,1026,0,16.39,16.79,1.16,19.40,0.845
28,1026,0,17.95,16.79,1.14,19.08,0.941
29,1028,0,18.38,16.79,1.12,18.74,0.981
30,1028,0,20.41,16.79,1.09,18.36,1.112
31,1030,0,21.52,16.79,1.07,18.04,1.193
32,1030,0,23.47,16.79,1.06,17.82,1.317
33,1032,0,24.02,16.79,1.05,17.65,1.361
34,1032,0,25.46,16.79,1.04,17.40,1.463
35,1034,0,26.05,16.79,1.01,17.02,1.530
36,1034,0,26.66,16.79,1.03,17.24,1.546
37,1036,0,27.17,16.79,1.02,17.18,1.581
38,1036,0,27.43,16.79,1.02,17.15,1.599
39,1038,0,27.97,16.79,1.02,17.21,1.625
40,1038,0,28.30,16.79,1.02,17.17,1.649
41,1040,0,28.71,16.79,1.02,17.11,1.678
42,1040,0,29.07,16.79,1.03,17.28,1.682
43,1042,0,29.30,16.79,1.03,17.29,1.695
44,1042,0,29.88,16.79,1.04,17.49,1.708
45,1044,0,30.16,16.79,1.04,17.40,1.733
46,1044,0,30.73,16.79,1.03,17.36,1.770
47,1046,0,31.02,16.79,1.03,17.37,1.785
48,1046,0,31.17,16.79,1.03,17.32,1.800
49,1048,0,31.81,16.79,1.04,17.40,1.828
50,1048,0,32.17,16.79,1.04,17.51,1.837
51,1050,0,32.70,16.79,1.06,17.71,1.847
52,1050,0,33.17,16.79,1.05,17.62,1.882
53,1052,0,33.55,16.79,1.06,17.86,1.879
54,1052,0,33.83,16.79,1.05,17.69,1.913
55,1054,0,34.03,16.79,1.07,17.91,1.900
56,1054,0,34.95,16.79,1.06,17.73,1.971
57,1056,0,35.17,16.79,1.05,17.71,1.986
58,1056,0,35.31,16.78,1.07,17.96,1.966
59,1058,0,35.63,16.79,1.06,17.87,1.994
60,1058,0,36.09,16.79,1.09,18.22,1.981
61,1060,0,36.56,16.79,1.09,18.32,1.996
62,1060,0,36.87,16.79,1.09,18.23,2.022
63,1062,0,37.62,16.79,1.09,18.25,2.062
64,1062,0,38.24,16.79,1.10,18.47,2.070
65,1064,0,38.95,16.79,1.10,18.51,2.104
66,1064,0,39.84,16.79,1.10,18.48,2.155
67,1066,0,40.38,16.79,1.10,18.48,2.185
68,1066,0,40.71,16.79,1.11,18.58,2.191
69,1068,0,40.96,16.79,1.12,18.74,2.185
70,1068,0,41.96,16.79,1.12,18.77,2.236
71,1070,0,42.29,16.79,1.12,18.79,2.250
72,1070,0,42.55,16.78,1.13,18.97,2.243
73,1072,0,43.22,16.79,1.13,19.04,2.269
74,1072,0,43.66,16.79,1.14,19.11,2.285
75,1074,0,43.95,16.79,1.14,19.14,2.296
76,1074,4182,45.02,16.79,1.15,19.27,2.336
77,1076,4225,45.49,16.79,1.16,19.40,2.345
78,1076,4260,46.25,16.79,1.14,19.21,2.408
79,1078,4302,46.63,16.79,1.15,19.37,2.407
80,1078,4328,47.46,16.79,1.15,19.37,2.450
81,1080,4362,48.27,16.78,1.16,19.49,2.476
82,1080,4371,48.50,16.79,1.17,19.67,2.466
83,1082,4397,48.80,16.79,1.18,19.78,2.467
84,1082,4422,49.39,16.79,1.18,19.80,2.494
85,1084,4440,50.09,16.79,1.18,19.76,2.535
86,1084,4465,50.56,16.79,1.18,19.82,2.551
87,1086,4491,50.75,16.79,1.19,19.91,2.549
88,1086,4508,51.15,16.79,1.19,19.94,2.565
89,1088,4534,51.97,16.78,1.19,19.97,2.602
90,1088,4560,52.74,16.79,1.21,20.29,2.600
91,1090,4585,53.47,16.79,1.23,20.59,2.597
92,1090,4628,54.56,16.79,1.21,20.37,2.679
93,1092,4645,55.16,16.79,1.22,20.43,2.700
