seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,12.65,0.84,10.57,0.000
2,1000,0,0.00,12.65,0.84,10.65,0.000
3,1002,0,0.00,12.64,0.83,10.55,0.000
4,1002,0,0.00,12.64,0.84,10.58,0.000
5,1004,0,0.00,12.65,0.85,10.70,0.000
6,1004,0,0.00,12.65,0.83,10.55,0.000
7,1006,0,0.00,12.65,0.84,10.59,0.000
8,1006,0,0.00,12.65,0.84,10.59,0.000
9,1008,0,0.00,12.65,0.84,10.59,0.000
10,1008,0,0.00,12.65,0.84,10.62,0.000
11,1010,0,0.00,12.64,0.84,10.63,0.000
12,1010,0,0.00,12.64,0.83,10.52,0.000
13,1012,0,0.00,12.65,0.83,10.56,0.000
14,1012,0,0.00,12.64,0.83,10.53,0.000
15,1014,0,0.00,12.64,0.85,10.73,0.000
16,1014,0,0.00,12.64,0.85,10.80,0.000
17,1016,0,0.00,12.64,0.85,10.80,0.000
18,1016,0,0.00,12.64,1.03,13.03,0.000
19,1018,0,0.66,12.64,1.32,16.65,0.040
20,1018,0,3.22,12.64,1.42,17.88,0.180
21,1020,0,4.50,12.63,1.42,17.88,0.252
22,1020,0,5.04,12.64,1.41,17.76,0.283
23,1022,0,5.58,12.64,1.32,16.71,0.334
24,1022,0,5.57,12.64,1.23,15.56,0.358
25,1024,0,6.47,12.64,1.15,14.53,0.445
26,1024,0,7.42,12.63,1.11,14.01,0.530
27,1026,0,8.05,12.64,1.08,13.64,0.590
28,1026,0,8.53,12.64,1.06,13.41,0.636
29,1028,0,8.71,12.64,1.05,13.24,0.658
30,1028,0,9.37,12.64,1.04,13.17,0.711
31,1030,0,10.27,12.64,1.04,13.09,0.784
32,1030,0,10.74,12.64,1.03,13.02,0.825
33,1032,0,11.12,12.64,1.01,12.81,0.868
34,1032,0,11.19,12.64,1.01,12.78,0.875
35,1034,0,11.48,12.64,1.01,12.72,0.903
36,1034,0,11.68,12.64,1.00,12.63,0.925
37,1036,0,11.93,12.64,1.00,12.70,0.939
38,1036,0,12.13,12.64,1.01,12.81,0.947
39,1038,0,12.44,12.64,1.02,12.87,0.966
40,1038,0,12.50,12.63,1.01,12.77,0.979
41,1040,0,12.68,12.64,1.01,12.77,0.993
42,1040,0,12.84,12.64,1.01,12.72,1.009
43,1042,0,12.91,12.64,1.02,12.87,1.004
44,1042,0,13.00,12.64,1.01,12.82,1.014
45,1044,0,13.11,12.64,1.01,12.82,1.023
46,1044,0,13.29,12.63,1.02,12.93,1.027
47,1046,0,13.80,12.64,1.02,12.87,1.073
48,1046,0,14.16,12.64,1.02,12.91,1.097
49,1048,0,14.46,12.64,1.03,12.99,1.113
50,1048,0,14.55,12.64,1.03,13.02,1.118
