seq,pwm,rpm,thrust,voltage,current,watts,gpwatt
1,1000,0,0.00,16.82,0.82,13.77,0.000
2,1000,0,0.00,16.83,0.82,13.73,0.000
3,1002,0,0.00,16.83,0.82,13.72,0.000
4,1002,0,0.00,16.83,0.83,13.95,0.000
5,1004,0,0.00,16.82,0.82,13.79,0.000
6,1004,0,0.00,16.83,0.81,13.62,0.000
7,1006,0,0.00,16.83,0.82,13.76,0.000
8,1006,0,0.00,16.82,0.81,13.70,0.000
9,1008,0,0.00,16.83,0.82,13.76,0.000
10,1008,0,0.00,16.82,0.82,13.74,0.000
11,1010,0,0.00,16.82,0.81,13.70,0.000
12,1010,0,0.00,16.83,0.83,13.90,0.000
13,1012,0,0.00,16.82,0.82,13.74,0.000
14,1012,0,0.00,16.82,0.81,13.70,0.000
15,1014,0,0.00,16.82,0.84,14.11,0.000
16,1014,0,0.00,16.82,0.84,14.17,0.000
17,1016,0,0.00,16.82,0.85,14.26,0.000
18,1016,0,0.00,16.80,1.11,18.58,0.000
19,1018,0,0.74,16.81,1.51,25.43,0.029
20,1018,0,3.58,16.81,1.55,26.02,0.138
21,1020,0,4.83,16.80,1.43,24.11,0.200
22,1020,0,6.77,16.81,1.32,22.23,0.304
23,1022,0,8.57,16.81,1.23,20.67,0.415
24,1022,0,9.79,16.81,1.21,20.30,0.482
25,1024,0,11.12,16.81,1.19,19.97,0.557
26,1024,0,12.88,16.81,1.15,19.40,0.664
27,1026,0,14.41,16.81,1.12,18.89,0.763
28,1026,0,16.16,16.81,1.11,18.59,0.870
29,1028,0,16.70,16.82,1.07,18.04,0.926
30,1028,0,17.61,16.81,1.07,17.92,0.982
31,1030,0,19.10,16.81,1.06,17.74,1.077
32,1030,0,19.61,16.81,1.06,17.79,1.103
33,1032,3994,20.55,16.81,1.05,17.72,1.160
34,1032,4062,20.72,16.82,1.03,17.41,1.190
35,1034,4131,21.50,16.81,1.03,17.38,1.238
36,1034,4174,21.99,16.82,1.04,17.51,1.256
37,1036,4225,21.92,16.82,1.05,17.70,1.238
38,1036,4268,23.01,16.81,1.06,17.83,1.291
39,1038,4311,23.23,16.81,1.05,17.64,1.317
40,1038,4354,23.93,16.81,1.06,17.75,1.348
41,1040,4397,24.33,16.81,1.06,17.84,1.364
42,1040,4440,24.26,16.81,1.07,17.99,1.348
43,1042,4491,24.94,16.81,1.07,17.99,1.386
44,1042,4525,25.24,16.81,1.07,18.00,1.403
45,1044,4560,25.81,16.81,1.07,18.00,1.434
46,1044,4611,26.37,16.81,1.07,18.07,1.460
47,1046,4645,26.56,16.82,1.07,17.97,1.479
48,1046,4688,27.52,16.81,1.09,18.34,1.501
49,1048,4722,27.68,16.81,1.09,18.31,1.512
50,1048,4757,28.12,16.81,1.09,18.37,1.531
51,1050,4800,28.95,16.81,1.09,18.35,1.577
52,1050,4834,29.12,16.81,1.09,18.39,1.584
53,1052,4868,29.75,16.81,1.10,18.49,1.609
54,1052,4911,30.30,16.81,1.10,18.53,1.636
55,1054,4937,30.47,16.81,1.10,18.43,1.653
56,1054,4971,31.23,16.81,1.11,18.59,1.680
57,1056,4997,31.57,16.81,1.11,18.63,1.695
58,1056,5022,31.59,16.81,1.11,18.72,1.687
59,1058,5057,32.06,16.81,1.10,18.58,1.726
60,1058,5082,32.25,16.81,1.11,18.66,1.729
61,1060,5117,32.63,16.81,1.12,18.88,1.729
62,1060,5160,33.01,16.81,1.13,19.00,1.737
63,1062,5185,33.61,16.81,1.12,18.89,1.779
64,1062,5220,34.53,16.81,1.13,19.05,1.813
65,1064,5245,34.34,16.81,1.15,19.25,1.784
66,1064,5280,34.55,16.81,1.15,19.41,1.780
67,1066,5314,35.05,16.82,1.14,19.19,1.827
68,1066,5340,35.23,16.81,1.15,19.25,1.830
69,1068,5374,36.45,16.81,1.14,19.23,1.896
70,1068,5408,35.96,16.81,1.16,19.45,1.849
71,1070,5442,35.98,16.81,1.16,19.52,1.843
72,1070,5468,36.55,16.81,1.16,19.45,1.879
73,1072,5494,36.42,16.81,1.16,19.44,1.874
74,1072,5528,37.12,16.81,1.17,19.61,1.893
75,1074,5554,37.38,16.81,1.17,19.66,1.902
76,1074,5580,37.95,16.81,1.17,19.70,1.926
77,1076,5605,38.48,16.81,1.19,19.97,1.927
78,1076,5640,38.48,16.81,1.18,19.88,1.936
79,1078,5674,38.95,16.81,1.18,19.76,1.971
80,1078,5708,39.23,16.81,1.19,19.99,1.963
81,1080,5734,39.93,16.81,1.20,20.10,1.986
82,1080,5760,40.31,16.81,1.20,20.17,1.999
83,1082,5794,41.15,16.81,1.20,20.19,2.039
84,1082,5828,41.91,16.81,1.21,20.39,2.056
85,1084,5862,42.69,16.81,1.20,20.23,2.110
86,1084,5888,42.82,16.81,1.22,20.55,2.084
87,1086,5922,43.22,16.81,1.23,20.65,2.093
88,1086,5940,43.94,16.81,1.22,20.50,2.144
89,1088,5974,44.41,16.81,1.22,20.48,2.169
90,1088,6000,45.44,16.81,1.23,20.69,2.196
91,1090,6025,45.58,16.81,1.24,20.87,2.183
92,1090,6060,46.05,16.81,1.24,20.86,2.208
93,1092,6085,46.12,16.81,1.25,21.02,2.194
94,1092,6120,46.43,16.81,1.26,21.10,2.200
95,1094,6145,47.42,16.81,1.25,21.06,2.252
96,1094,6180,47.48,16.81,1.26,21.17,2.243
97,1096,6205,47.73,16.81,1.26,21.19,2.252
98,1096,6231,48.32,16.81,1.27,21.42,2.256
99,1098,6257,48.13,16.81,1.27,21.26,2.263
100,1098,6282,48.97,16.81,1.28,21.48,2.280
101,1100,6317,49.20,16.81,1.27,21.42,2.297
102,1100,6342,49.69,16.81,1.29,21.61,2.300
103,1102,6368,50.03,16.81,1.28,21.52,2.325
104,1102,6402,50.36,16.81,1.29,21.64,2.327
105,1104,6420,51.01,16.81,1.29,21.71,2.350
106,1104,6445,50.96,16.80,1.31,21.98,2.318
107,1106,6471,51.03,16.81,1.31,22.05,2.315
108,1106,6497,51.93,16.81,1.31,22.00,2.361
109,1108,6531,52.25,16.81,1.30,21.88,2.388
110,1108,6548,52.61,16.81,1.30,21.90,2.403
111,1110,6574,52.84,16.81,1.30,21.92,2.410
112,1110,6591,53.23,16.81,1.31,22.00,2.420
113,1112,6608,53.81,16.81,1.32,22.14,2.431
114,1112,6625,53.60,16.81,1.32,22.20,2.414
115,1114,6651,53.69,16.81,1.33,22.41,2.396
116,1114,6677,54.35,16.81,1.35,22.65,2.399
117,1116,6711,54.65,16.80,1.34,22.57,2.422
118,1116,6737,55.21,16.81,1.35,22.61,2.442
119,1118,6771,55.80,16.80,1.35,22.69,2.459
120,1118,6797,56.12,16.81,1.36,22.86,2.455
121,1120,6822,56.67,16.81,1.36,22.85,2.481
122,1120,6857,56.61,16.81,1.37,23.00,2.461
123,1122,6882,57.08,16.81,1.36,22.89,2.493
124,1122,6908,57.66,16.80,1.38,23.23,2.482
125,1124,6942,58.05,16.81,1.37,22.99,2.525
126,1124,6968,58.95,16.81,1.38,23.17,2.544
127,1126,6994,58.97,16.81,1.39,23.30,2.531
128,1126,7020,59.34,16.81,1.39,23.39,2.537
129,1128,7045,59.75,16.81,1.38,23.22,2.574
130,1128,7071,60.16,16.80,1.40,23.60,2.549
131,1130,7097,61.16,16.81,1.41,23.64,2.587
132,1130,7122,61.35,16.81,1.41,23.69,2.590
133,1132,7148,61.86,16.81,1.40,23.60,2.622
134,1132,7191,62.42,16.81,1.42,23.78,2.624
135,1134,7234,62.65,16.81,1.43,24.07,2.602
136,1134,7268,63.44,16.81,1.45,24.43,2.597
137,1136,7302,63.92,16.81,1.45,24.38,2.622
138,1136,7337,64.75,16.81,1.44,24.29,2.666
139,1138,7371,65.54,16.81,1.44,24.22,2.706
140,1138,7397,65.92,16.81,1.46,24.56,2.684
141,1140,7431,66.62,16.81,1.47,24.70,2.697
